,cmun,province,municipality,altitude,koppen_climate,age_score,economy_score,economy_score_area,closest_distance_airport,school_score_area
66,31082,Navarra,Etxalar,102.0956,Cfb,21.560196560196573,0.0,5.037121212121212,18.49769313319256,5.0
68,15003,A Coruña,Aranga,275.3901,Cfb,-26.181211784324617,3.1,11.5125,30.291877846001345,5.0
70,39098,Cantabria,Villacarriedo,213.2215,Cfb,10.029761904761898,6.05,4.796951219512195,21.814380344359886,5.0
72,31259,Navarra,Igantzi,208.3124,Cfb,16.554054054054056,0.0,5.414873417721519,16.333543433581312,5.0
73,48022,Bizkaia,Karrantza Harana/Valle de Carranza,173.5333,Cfb,1.958610495195856,6.4,13.772942391304348,37.6156732612606,5.0
74,48051,Bizkaia,Lanestosa,287.1597,Cfb,-13.414634146341456,0.0,3.985256410256411,38.56210253676952,4.0
77,15040,A Coruña,Laxe,10.11361,Csb,-9.93150684931507,11.6,25.0828125,51.78949671850596,5.0
78,15014,A Coruña,Cabana de Bergantiños,91.22826,Csb,-19.687728714320563,20.25,29.17794117647059,49.792557240703246,5.0
79,33027,Asturias,Grandas de Salime,567.9332,Csb,-33.312020460358056,0.0,2.6410714285714287,78.29568146989976,5.0
80,39021,Cantabria,Cieza,238.8728,Cfb,-5.698529411764696,0.0,1.48546511627907,31.435013824969275,5.0
81,15001,A Coruña,Abegondo,99.71806,Csb,1.6765285996055184,36.5,31.97596153846154,12.241419392810654,5.0
84,27029,Lugo,Meira,488.5347,Csb,5.758266818700122,5.9,16.4254,88.46411309251535,5.0
85,39026,Cantabria,Corvera de Toranzo,317.1393,Cfb,14.672897196261664,7.449999999999999,5.196428571428571,26.08015794934066,4.0
87,48097,Bizkaia,Zaratamo,167.1853,Cfb,25.621890547263675,8.15,16.916188815789475,10.49551869247608,5.0
88,39082,Cantabria,Selaya,242.945,Cfb,9.6268253109789,8.3,5.906818181818182,23.930842579381,5.0
90,48092,Bizkaia,Bedia,68.43693,Cfb,15.88658865886589,5.9,16.050728289473685,13.3249050447284,5.0
91,48055,Bizkaia,Lemoa,64.37141,Cfb,37.09136630343671,13.85,20.324129375,15.076362212339486,5.0
92,27010,Lugo,Castro de Rei,431.6718,Csb,-2.5029797377830647,22.2,26.76076470588235,80.03088579933954,5.0
94,20002,Gipuzkoa,Aduna,127.536,Cfb,34.83935742971888,0.0,7.842982456140352,26.97523023347577,5.0
95,39014,Cantabria,Cabuérniga,279.0297,Cfb,-8.691308691308706,0.0,1.4232954545454546,46.18354269915227,1.5
97,39003,Cantabria,Anievas,307.6791,Cfb,-26.63043478260869,0.0,1.4561111111111111,28.945774466056086,4.0
98,33058,Asturias,Riosa,1073.679,Csb,-7.784256559766774,0.0,7.434210526315789,41.65036767451593,5.0
99,20028,Gipuzkoa,Zizurkil,114.8392,Cfb,25.944032366824,7.950000000000001,11.772058823529411,28.80155375408832,5.0
100,31024,Navarra,Arano,455.9649,Cfb,9.09090909090908,0.0,6.100233644859812,19.35703735594262,5.0
101,31022,Navarra,Arantza,267.3421,Cfb,16.612903225806463,0.0,5.224166666666666,18.52307887571718,5.0
102,20014,Gipuzkoa,Asteasu,114.908,Cfb,36.20470438652257,10.35,12.94096638655462,30.619320081555557,5.0
