,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.0,0.0,1.0,0.0,0.0,1.409585810625121,1.5185954492777687,0.13125434288289775,-2.1241238699470175,-1.4273881702376265,0.386912143098841,Bizkaia,Good,Balanced Town,País Vasco
1,0.0,0.0,0.0,0.0,1.0,-0.8003109159183212,1.516728442487019,-1.99590237110287,-1.7019019569136073,-1.4639683868913775,0.731120745228787,A Coruña,Excellent,Highly Aging Town,Galicia
2,0.0,0.0,1.0,0.0,0.0,-0.8019849279221871,1.5154215377334976,-1.9503482668671974,-1.0280607777997408,-1.1532869828549315,-0.3971185617527025,A Coruña,Good,Highly Aging Town,Galicia
3,0.0,0.0,1.0,0.0,0.0,1.409251008224348,1.5145137861559277,0.15437781256934918,-1.840702615692161,-1.2679283240927022,-0.3971185617527025,Bizkaia,Good,Balanced Town,País Vasco
4,0.0,0.0,1.0,0.0,0.0,1.4656986929947058,1.5145137861559277,0.06386157857695768,-2.04253429542704,-1.8696955514387092,6.34363322995874,Bizkaia,Excellent,Balanced Town,País Vasco
5,0.0,0.0,0.0,0.0,1.0,0.40323675438110096,1.5145137861559277,-1.1063804158725936,-1.4297137260965045,-0.913937855998619,0.8171728957612734,Asturias,Weak,Highly Aging Town,Asturias
6,0.0,0.0,0.0,0.0,1.0,0.40102705853599796,1.5139987497998608,-1.2365573882525074,-1.482156768511265,-0.8720481298156431,0.3677894429805107,Asturias,Weak,Highly Aging Town,Asturias
7,0.0,0.0,1.0,0.0,0.0,0.8069414892333996,1.5139794359365066,-0.20510004751545383,-1.708879532485327,-1.1307237530780816,-0.3971185617527025,Cantabria,Poor,Highly Aging Town,Cantabria
8,0.0,0.0,1.0,0.0,0.0,0.2835114158646123,1.5128141661809031,0.5231530857190961,-2.0491263100721735,-1.6018174025566423,2.318304855050204,Navarra,Excellent,Balanced Town,Navarra
9,0.0,0.0,0.0,0.0,1.0,0.4059151735872864,1.5121059911913088,-1.1942187993877742,0.004993283558126422,-0.9545728845314128,-0.3971185617527025,Asturias,Poor,Highly Aging Town,Asturias
10,0.0,0.0,1.0,0.0,0.0,0.8054683586699977,1.5095050575931672,-0.26404301621157145,-1.1072317526570812,-1.3798882681688998,-0.3971185617527025,Cantabria,Poor,Highly Aging Town,Cantabria
11,0.0,0.0,1.0,0.0,0.0,0.8070754101937089,1.509331232822994,-0.394644767133068,-1.8486592317387287,-1.1895259002892609,1.1135747475953937,Cantabria,Excellent,Balanced Town,Cantabria
12,0.0,0.0,1.0,0.0,0.0,0.8029238604241214,1.5086809994234573,-0.22120982219568058,-1.6677050164734564,-1.1957796546083843,-0.3971185617527025,Cantabria,Poor,Highly Aging Town,Cantabria
13,0.0,0.0,1.0,0.0,0.0,1.4109250202282138,1.5076573646657718,-0.09979608931746031,-0.8443163609207657,-0.9865848333235573,-0.3971185617527025,Bizkaia,Excellent,Highly Aging Town,País Vasco
14,0.0,0.0,1.0,0.0,0.0,1.410523257347286,1.5073290289887793,0.07724501207887982,-1.9646256198902652,-1.77025355826287,0.8458569459387689,Bizkaia,Excellent,Balanced Town,País Vasco
15,0.0,0.0,1.0,0.0,0.0,1.4091170872640386,1.506318270139995,0.20720474611789289,-1.9302135263822202,-0.9040063037385637,3.55171901268251,Bizkaia,Moderate,Balanced Town,País Vasco
16,0.0,0.0,1.0,0.0,0.0,0.2844488625867772,1.5055199637880876,0.578026714779412,-1.5160375604647465,-1.2654688351234133,-0.3971185617527025,Navarra,Moderate,Young & Growing,Navarra
17,0.0,0.0,1.0,0.0,0.0,0.40075921661537944,1.5037881540408078,-1.3908594542406683,-0.3337700182467144,-0.11940894733700501,0.4155961932763365,Asturias,Weak,Highly Aging Town,Asturias
18,0.0,0.0,1.0,0.0,0.0,0.28277485058291135,1.5036980226784993,0.5925153483406669,-1.8701706185418376,-1.1710075353627132,-0.3971185617527025,Navarra,Weak,Balanced Town,Navarra
19,0.0,0.0,1.0,0.0,0.0,0.8091511850785026,1.5034083147282105,-0.3344616002657722,-1.4686407833099937,-1.3900065690773935,-0.3971185617527025,Cantabria,Excellent,Balanced Town,Cantabria
20,0.0,0.0,1.0,0.0,0.0,1.4075769962204818,1.503356811092601,-0.024326713837316744,-0.7790881079820864,-1.4905960012337973,-0.3971185617527025,Bizkaia,Excellent,Aging Town,País Vasco
21,0.0,0.0,1.0,0.0,0.0,1.4055681818158428,1.5029254681443942,0.1704720702252258,-1.5703386126348338,-1.1503628910127064,-0.3971185617527025,Bizkaia,Good,Aging Town,País Vasco
22,0.0,0.0,1.0,0.0,0.0,0.4047768454246576,1.5022945486082118,-1.5247042632513261,0.05081760442938295,0.6848580771686519,-0.3971185617527025,Asturias,Weak,Highly Aging Town,Asturias
23,0.0,0.0,1.0,0.0,0.0,-0.4094625932557126,1.5021786654280962,0.2543978360505403,-2.1352156782694047,-0.5807054323121534,1.1040133975362283,Gipuzkoa,Excellent,Young & Growing,País Vasco
24,0.0,0.0,1.0,0.0,0.0,1.4108580597480591,1.5012837897594276,-0.047020361949271706,-1.9385674951840097,-1.3371390113712138,0.7598047954062824,Bizkaia,Excellent,Balanced Town,País Vasco
25,0.0,0.0,1.0,0.0,0.0,0.8078789359555645,1.5003245345462526,-0.30979535043331646,-1.6668257284949064,-1.4017284148609588,-0.3971185617527025,Cantabria,Excellent,Highly Aging Town,Cantabria
26,0.0,0.0,1.0,0.0,0.0,1.4085814034228015,1.500118520003824,0.09120723058905912,-1.943777921820513,-1.6668456647147116,0.40603484321717137,Bizkaia,Excellent,Balanced Town,País Vasco
