cmun,municipality_name,province,altitude,longitude,latitude,nearest_airport,closest_distance_airport,nearest_train_station,closest_distance_train,closest_distance_hospital,nearest_hospital
1047,Ribera Baja/Erriberabeitia,Álava,478.6605,-2.918541,42.71267,Aeropuerto de Vitoria,24.022249700048288,Miranda De Ebro,3.0577879100722316,7.529457635162165,Hospital Santiago Apóstol
1049,Añana,Álava,628.5115,-2.982607,42.80235,Aeropuerto de Vitoria,22.256787589475913,Manzanos,11.504338320735062,14.758740090825311,Hospital Santiago Apóstol
1052,Samaniego,Álava,578.5411,-2.680185,42.56983,Aeropuerto de Logroño - Agoncillo,32.239645803791724,Haro,13.966566217763948,3.479302185385651,Hospital De Leza
1053,San Millán/Donemiliaga,Álava,596.2991,-2.376111,42.87472,Aeropuerto de Vitoria,29.01276716065816,Agurain/Salvatierra De Alava,3.319772481330983,22.68337298174024,Organización Sanitaria Integrada Alto Deba
1054,Urkabustaiz,Álava,680.2825,-2.922222,42.97194,Aeropuerto de Vitoria,18.69615828474091,Nanclares-Langraiz,19.77326423921799,22.972094487440447,Hospital Universitario De Araba (Sede Txagorritxu Y Sede Santiago)
1055,Valdegovía/Gaubea,Álava,574.0443,-3.1,42.85,Aeropuerto de Vitoria,30.31521423384047,Miranda De Ebro,21.95539490558633,21.98891461221604,Hospital Santiago Apóstol
1056,Harana/Valle de Arana,Álava,831.0966,-2.321858,42.75673,Aeropuerto de Logroño - Agoncillo,33.009423711628926,Agurain/Salvatierra De Alava,11.38773180546717,24.56967102855793,Hospital García Orcoyen
1057,Villabuena de Álava/Eskuernaga,Álava,486.5453,-2.665456,42.54872,Aeropuerto de Logroño - Agoncillo,30.28211275709868,Haro,15.584396526608735,3.7452345551096267,Hospital De Leza
1059,Vitoria-Gasteiz,Álava,534.3582,-2.667893,42.84641,Aeropuerto de Vitoria,6.321856215985429,Vitoria/Gasteiz,0.668031538514676,0.3724720468556434,Hospital Quirónsalud Vitoria
1060,Yécora/Iekora,Álava,688.1754,-2.470064,42.5693,Aeropuerto de Logroño - Agoncillo,17.497478485920592,Logroño,12.641325795173524,11.418296059895157,Hospital General De La Rioja
1061,Zalduondo,Álava,608.8599,-2.347254,42.88563,Aeropuerto de Vitoria,31.371765167156884,Araia,3.761074067809244,22.184598183955554,Hospital De Zumarraga
1062,Zambrana,Álava,455.7371,-2.879353,42.65998,Aeropuerto de Vitoria,27.20192253682317,Miranda De Ebro,6.108982172317864,9.091037231803776,Hospital Santiago Apóstol
1063,Zuia,Álava,803.4551,-2.844,42.98167,Aeropuerto de Vitoria,14.64730688335912,Nanclares-Langraiz,18.653288455664537,18.86078733253999,Hospital Universitario De Araba (Sede Txagorritxu Y Sede Santiago)
1901,Iruña Oka/Iruña de Oca,Álava,498.6791,-2.807778,42.81917,Aeropuerto de Vitoria,9.14518458364632,Nanclares-Langraiz,0.4005816411779074,10.403232229564944,Hospital Universitario De Araba (Sede Txagorritxu Y Sede Santiago)
1902,Lantarón,Álava,615.6439,-2.987556,42.75667,Aeropuerto de Vitoria,24.99667565227547,Miranda De Ebro,8.251359090326817,9.674776725236338,Hospital Santiago Apóstol
2001,Abengibre,Albacete,635.9763,-1.544182,39.20999,Aeropuerto de Albacete,39.96566154157289,Albacete Los Llanos,35.155380106494164,35.976289439324674,Quironsalud Hospital Albacete
2002,Alatoz,Albacete,856.581,-1.361155,39.09464,Aeropuerto de Albacete,46.35831059632328,Almansa,33.545336481642266,33.273070043502514,Hospital General De Almansa
2003,Albacete,Albacete,685.9573,-1.86007,38.99765,Aeropuerto de Albacete,5.337180015477567,Albacete Los Llanos,1.0249316089428648,0.8958485753010231,Clínica Santa Cristina Albacete
2004,Albatana,Albacete,583.8509,-1.524207,38.56977,Aeropuerto de Albacete,51.4413368215052,Hellin,15.845410699198904,16.115993148455438,Hospital De Hellín
2005,Alborea,Albacete,700.4382,-1.39587,39.27951,Aeropuerto de Albacete,54.5389259263982,Requena-Utiel,35.06225660326357,35.1323103265739,Hospital General De Requena
2006,Alcadozo,Albacete,926.3744,-1.981464,38.64877,Aeropuerto de Albacete,34.944768325345905,Hellin,29.876283383416723,30.09714387579445,Hospital De Hellín
2007,Alcalá del Júcar,Albacete,564.6768,-1.429671,39.19346,Aeropuerto de Albacete,46.260264989681346,Albacete Los Llanos,42.120038826770426,42.64324476391247,Quironsalud Hospital Albacete
2008,Alcaraz,Albacete,946.7922,-2.492647,38.66966,Aeropuerto de Albacete,62.89195813348167,Minaya,64.61716477469201,42.896741274024876,Hospital De Alta Resolución Sierra De Segura
2009,Almansa,Albacete,699.0923,-1.097517,38.86941,Aeropuerto de Albacete,67.00390856789878,Almansa,0.7108431764255496,1.152660158130397,Hospital General De Almansa
2010,Alpera,Albacete,855.4849,-1.231247,38.95939,Aeropuerto de Albacete,54.78628919724329,Almansa,14.916859211263455,14.856386858809174,Hospital General De Almansa
2011,Ayna,Albacete,705.988,-2.070846,38.55318,Aeropuerto de Albacete,47.5696271676248,Hellin,33.69366396357639,33.719003625363534,Hospital De Hellín
2012,Balazote,Albacete,774.1191,-2.150826,38.88408,Aeropuerto de Albacete,25.988040270919797,La Gineta,28.436782043986348,26.85329701410143,Hospital Universitario Nuestra Señora Del Perpetuo Socorro
2013,Balsa de Ves,Albacete,753.8686,-1.195344,39.26442,Aeropuerto de Valencia,66.52940113801844,Requena-Utiel,29.041249993279383,26.483952164609807,Hospital General De Requena
2014,"Ballestero, El",Albacete,1022.816,-2.455432,38.84107,Aeropuerto de Albacete,52.77601744024154,Minaya,45.324871519168234,50.37700783946189,Hospital General De Villarobledo
2015,Barrax,Albacete,730.8005,-2.200169,39.04573,Aeropuerto de Albacete,31.082575536580833,La Roda De Albacete,17.361613990303823,29.08770015581021,Hospital Universitario Nuestra Señora Del Perpetuo Socorro
2016,Bienservida,Albacete,892.105,-2.611526,38.51517,Aeropuerto de Albacete,80.99596570909986,Valdepeñas,73.63981106564363,23.04985238415932,Hospital De Alta Resolución Sierra De Segura
2017,Bogarra,Albacete,877.0484,-2.214221,38.58138,Aeropuerto de Albacete,51.01085582996944,Hellin,46.52692211068591,46.56547120158223,Hospital De Hellín
2018,Bonete,Albacete,892.0386,-1.348517,38.8693,Aeropuerto de Albacete,45.52082702576246,Almansa,21.096861813358565,22.123210032692548,Hospital General De Almansa
2019,"Bonillo, El",Albacete,1068.339,-2.539598,38.95073,Aeropuerto de Albacete,58.63814095951864,Villarrobledo,34.80453502301588,36.96912582809476,Hospital General De Villarobledo
2020,Carcelén,Albacete,917.2548,-1.308891,39.10189,Aeropuerto de Albacete,50.886411414479525,Almansa,31.404893504816133,30.935052303848178,Hospital General De Almansa
2021,Casas de Juan Núñez,Albacete,708.0665,-1.557571,39.10187,Aeropuerto de Albacete,31.39915125284402,Albacete Los Llanos,27.611820513001252,27.965245809460665,Quironsalud Hospital Albacete
2022,Casas de Lázaro,Albacete,955.0565,-2.241862,38.77105,Aeropuerto de Albacete,38.38552490646836,Albacete Los Llanos,42.55768685953281,40.222191236669325,Hospital Universitario Nuestra Señora Del Perpetuo Socorro
2023,Casas de Ves,Albacete,705.2325,-1.335103,39.2584,Aeropuerto de Albacete,57.1083889637836,Requena-Utiel,33.95383570785479,33.16144577599929,Hospital General De Requena
2024,Casas-Ibáñez,Albacete,708.7758,-1.47113,39.28518,Aeropuerto de Albacete,50.370247045587,Requena-Utiel,39.109566628919005,39.870756527557084,Hospital General De Requena
2025,Caudete,Albacete,576.1887,-0.9915481,38.70274,Aeropuerto de Alicante - Elche,59.47500695357195,Caudete,3.1437646356437403,13.969410420317095,Hospital Virgen Del Castillo
2026,Cenizate,Albacete,709.0714,-1.661456,39.3043,Aeropuerto de Albacete,43.064457173885906,La Gineta,36.245410788802495,38.75985649709776,Quironsalud Hospital Albacete
2027,Corral-Rubio,Albacete,874.6991,-1.460988,38.83509,Aeropuerto de Albacete,37.136598108308746,Almansa,31.07704323885223,32.24005500014136,Hospital General De Almansa
2028,Cotillas,Albacete,937.312,-2.506876,38.4311,Aeropuerto de Albacete,80.3110809505061,Hellin,71.93202427460982,25.73170636684087,Hospital De Alta Resolución Sierra De Segura
2029,Chinchilla de Monte-Aragón,Albacete,886.0651,-1.722758,38.91862,Aeropuerto de Albacete,12.65161085298954,Albacete Los Llanos,14.193227742333448,12.863164434284121,Quironsalud Hospital Albacete
2030,Elche de la Sierra,Albacete,641.3206,-2.048343,38.44759,Aeropuerto de Albacete,58.0132708810528,Hellin,32.12145978215121,31.96639512704682,Hospital De Hellín
2031,Férez,Albacete,678.098,-2.010168,38.35604,Aeropuerto de Albacete,67.12523560099939,Calasparra,30.440931677241657,30.664174929597344,Hospital Comarcal Del Noroeste
2032,Fuensanta,Albacete,704.071,-2.065142,39.24641,Aeropuerto de Albacete,37.29351391838664,La Roda De Albacete,9.924654400034916,33.0419617615994,Hospital Universitario Nuestra Señora Del Perpetuo Socorro
2033,Fuente-Álamo,Albacete,823.3177,-1.431773,38.69322,Aeropuerto de Albacete,47.05073139354251,Hellin,30.319341960734526,29.462178099706165,Hospital Virgen Del Castillo
2034,Fuentealbilla,Albacete,664.727,-1.549186,39.26686,Aeropuerto de Albacete,44.47234700458344,Albacete Los Llanos,39.326396529235616,40.32595237662756,Quironsalud Hospital Albacete
2035,"Gineta, La",Albacete,691.8901,-1.996003,39.11287,Aeropuerto de Albacete,21.463968580613823,La Gineta,0.3942928987242333,17.390030008285528,Hospital Universitario Nuestra Señora Del Perpetuo Socorro
2036,Golosalvo,Albacete,737.8311,-1.636626,39.23994,Aeropuerto de Albacete,37.71975867120981,Albacete Los Llanos,32.315196691596356,33.4682435459113,Quironsalud Hospital Albacete
2037,Hellín,Albacete,571.8438,-1.70331,38.51216,Aeropuerto de Albacete,50.514194538831646,Hellin,1.3367334465079153,1.5090281319571057,Hospital De Hellín
2038,"Herrera, La",Albacete,715.7388,-2.126546,38.96182,Aeropuerto de Albacete,22.87011874197448,La Gineta,19.90925566074416,22.262448894915035,Hospital Universitario Nuestra Señora Del Perpetuo Socorro
2039,Higueruela,Albacete,1038.131,-1.445101,38.96424,Aeropuerto de Albacete,36.273425067615186,Almansa,31.344910997034585,31.8789434829526,Hospital General De Almansa
