cmun,municipality,population,number_of_houses,VDSL_30Mbps,fixed_wireless,FTTH,HFC,reception_30Mbps,reception_100Mbps,reception_1Gbps,4G,5G,"5G_3,5GHz"
1001,Alegría-Dulantzi,2.960,1.275,0.29,1.0,0.99,0.0,1.0,0.81,0.15,1.0,0.01,0.0
1002,Amurrio,10.281,4.937,0.1,1.0,0.92,0.0,0.93,0.87,0.89,1.0,0.96,0.0
1003,Aramaio,1.431,738,0.21,0.94,0.85,0.0,0.89,0.78,0.84,1.0,0.6,0.0
1004,Artziniega,1.810,1.099,0.11,1.0,0.87,0.0,0.98,0.95,0.97,1.0,0.84,0.0
1006,Armiñón,235,180,0.0,0.53,0.87,0.0,0.99,0.84,0.9,0.96,0.0,0.0
1008,Arratzua-Ubarrundia,1.031,543,0.04,0.91,0.68,0.0,0.96,0.92,0.93,1.0,0.72,0.24
1009,Asparrena,1.637,1.093,0.12,0.95,0.87,0.0,0.97,0.86,0.88,1.0,0.95,0.0
1010,Ayala/Aiara,2.921,1.596,0.06,0.98,0.82,0.0,0.94,0.87,0.92,1.0,0.78,0.0
1011,Baños de Ebro/Mañueta,296,262,0.0,1.0,0.95,0.0,1.0,0.94,0.98,1.0,1.0,0.0
1013,Barrundia,914,571,0.02,0.98,0.83,0.0,0.89,0.77,0.79,0.99,0.06,0.0
1014,Berantevilla,452,338,0.0,0.74,0.76,0.0,0.92,0.76,0.78,0.94,0.92,0.0
1016,Bernedo,560,633,0.0,0.81,0.86,0.0,0.89,0.88,0.89,1.0,0.0,0.0
1017,Campezo/Kanpezu,1.094,901,0.05,1.0,0.95,0.0,1.0,0.97,0.97,1.0,0.87,0.0
1018,Zigoitia,1.822,1.051,0.06,0.88,0.88,0.0,0.97,0.93,0.96,1.0,0.75,0.01
1019,Kripan,176,136,0.0,1.0,0.98,0.0,1.0,0.99,0.99,1.0,0.0,0.0
1020,Kuartango,421,328,0.0,0.99,0.87,0.0,0.95,0.84,0.88,1.0,0.0,0.0
1021,Elburgo/Burgelu,629,296,0.15,0.93,0.98,0.0,0.99,0.98,0.98,1.0,0.56,0.0
1022,Elciego,971,853,0.1,1.0,0.98,0.0,1.0,0.96,0.99,1.0,0.86,0.0
1023,Elvillar/Bilar,316,299,0.18,1.0,0.96,0.0,1.0,0.97,0.98,1.0,0.0,0.0
1027,Iruraiz-Gauna,537,296,0.0,0.86,0.66,0.0,0.92,0.66,0.67,1.0,0.53,0.0
1028,Labastida/Bastida,1.538,1.970,0.04,1.0,0.96,0.0,1.0,0.95,0.96,1.0,0.93,0.02
1030,Lagrán,175,265,0.0,0.85,0.67,0.0,1.0,0.7,0.71,1.0,0.0,0.0
1031,Laguardia,1.483,1.409,0.05,1.0,0.93,0.0,1.0,0.94,0.95,1.0,0.02,0.0
1032,Lanciego/Lantziego,724,661,0.16,0.98,0.59,0.0,1.0,0.98,0.98,1.0,0.0,0.0
1033,Lapuebla de Labarca,870,669,0.22,0.99,0.94,0.0,1.0,0.92,0.99,1.0,0.0,0.0
1034,Leza,217,257,0.17,1.0,0.9,0.0,1.0,0.9,0.92,1.0,1.0,0.0
1036,Laudio/Llodio,17.906,8.846,0.09,1.0,0.97,0.04,0.99,0.98,0.98,1.0,0.99,0.0
