cmun,municipality,population,number_of_houses,VDSL_30Mbps,fixed_wireless,FTTH,HFC,reception_30Mbps,reception_100Mbps,reception_1Gbps,4G,5G,"5G_3,5GHz"
4055,Instinción,467,385,0.51,0.94,0.96,0.0,1.0,0.96,0.96,1.0,0.95,0.0
4056,Laroya,200,161,0.0,0.82,0.66,0.0,0.81,0.66,0.6,0.9,0.0,0.0
4057,Láujar de Andarax,1.587,1.248,0.04,1.0,0.97,0.0,1.0,0.8,0.94,1.0,1.0,0.0
4058,Líjar,383,329,0.0,0.91,0.87,0.0,0.93,0.87,0.86,0.98,0.0,0.0
4059,Lubrín,1.457,1.605,0.08,0.67,0.46,0.0,0.72,0.47,0.5,0.91,0.08,0.0
4060,Lucainena de las Torres,595,561,0.08,0.94,0.68,0.0,0.89,0.66,0.66,0.99,0.74,0.0
4061,Lúcar,803,703,0.01,0.9,0.28,0.0,1.0,0.28,0.26,1.0,0.44,0.0
4062,Macael,5.393,2.921,0.16,0.97,0.95,0.0,0.99,0.95,0.88,1.0,0.0,0.0
4063,María,1.228,1.081,0.09,0.67,0.66,0.0,0.75,0.63,0.58,1.0,0.0,0.0
4064,Mojácar,7.527,9.145,0.06,1.0,0.99,0.0,0.98,0.97,0.88,1.0,0.99,0.67
4065,Nacimiento,512,559,0.0,0.51,0.83,0.0,0.84,0.82,0.8,0.97,0.01,0.0
4066,Níjar,31.816,13.237,0.13,0.96,0.87,0.0,0.93,0.85,0.85,1.0,0.98,0.57
4067,Ohanes,551,698,0.0,0.96,0.92,0.0,0.95,0.81,0.81,1.0,0.0,0.0
4068,Olula de Castro,192,176,0.0,0.92,0.91,0.0,0.91,0.91,0.91,1.0,0.0,0.0
4069,Olula del Río,6.259,3.571,0.13,0.98,0.98,0.0,1.0,0.94,0.88,1.0,0.97,0.0
4070,Oria,2.212,1.858,0.0,0.77,0.39,0.0,0.95,0.39,0.37,0.95,0.39,0.0
4071,Padules,424,364,0.0,0.98,0.99,0.0,1.0,0.99,0.99,1.0,0.0,0.0
4072,Partaloa,1.003,616,0.0,0.95,0.27,0.0,1.0,0.36,0.27,1.0,0.56,0.0
4073,Paterna del Río,395,796,0.0,0.83,0.66,0.0,1.0,0.0,0.56,1.0,0.9,0.0
4074,Pechina,4.224,1.734,0.13,0.97,0.87,0.0,0.99,0.81,0.81,1.0,1.0,0.01
4075,Pulpí,10.493,8.518,0.03,1.0,0.95,0.0,0.96,0.89,0.8,1.0,0.96,0.0
4076,Purchena,1.550,1.127,0.37,0.92,0.81,0.0,0.98,0.72,0.66,0.98,0.91,0.0
4077,Rágol,288,263,0.0,1.0,0.97,0.0,0.82,0.0,0.0,1.0,0.99,0.0
4078,Rioja,1.510,771,0.01,0.99,0.82,0.0,0.96,0.69,0.79,1.0,0.78,0.0
4079,Roquetas de Mar,102.881,60.969,0.06,1.0,0.99,0.0,1.0,0.93,0.94,1.0,1.0,0.52
4080,Santa Cruz de Marchena,219,147,0.0,0.99,0.93,0.0,0.97,0.94,0.91,1.0,0.97,0.0
4081,Santa Fe de Mondújar,476,398,0.01,0.93,0.59,0.0,0.75,0.56,0.47,1.0,0.91,0.0
4082,Senés,285,250,0.0,0.91,0.86,0.0,0.88,0.86,0.81,1.0,0.0,0.0
4083,Serón,2.062,1.794,0.06,0.9,0.59,0.0,0.95,0.58,0.52,1.0,0.32,0.0
4084,Sierro,384,388,0.0,0.63,0.04,0.0,0.76,0.0,0.0,1.0,0.0,0.0
4085,Somontín,445,444,0.06,0.98,0.73,0.0,1.0,0.0,0.0,1.0,0.14,0.0
4086,Sorbas,2.505,1.940,0.07,0.79,0.44,0.0,0.83,0.41,0.42,1.0,0.11,0.0
4087,Suflí,203,198,0.0,0.95,0.0,0.0,0.99,0.0,0.0,1.0,0.95,0.0
4088,Tabernas,4.025,2.514,0.1,0.94,0.76,0.0,0.99,0.6,0.59,1.0,0.92,0.0
4089,Taberno,949,661,0.0,0.97,0.48,0.0,0.94,0.0,0.0,0.98,0.0,0.0
4090,Tahal,346,414,0.0,0.82,0.71,0.0,0.91,0.59,0.72,0.99,0.0,0.0
4091,Terque,386,398,0.0,0.95,0.7,0.0,1.0,0.76,0.94,1.0,0.39,0.0
4092,Tíjola,3.520,2.069,0.21,0.98,0.77,0.0,0.99,0.71,0.66,1.0,0.99,0.0
