cmun,municipality_clean,province_clean,0-17,18-24,25-34,35-54,55+,total_population
1001,alegria-dulantzi,araba/alava,1230,500,536,2010,1654,5930
1002,amurrio,araba/alava,3652,1176,1724,5922,8150,20624
1003,aramaio,araba/alava,436,226,216,698,1184,2760
1004,artziniega,araba/alava,704,254,292,1152,1310,3712
1006,arminon,araba/alava,84,40,36,192,140,492
1008,arratzua-ubarrundia,araba/alava,336,142,180,572,862,2092
1009,asparrena,araba/alava,458,220,290,888,1370,3226
1010,ayala/aiara,araba/alava,1100,416,452,1890,2020,5878
1011,banos,araba/alava,40,48,42,172,282,584
1013,barrundia,araba/alava,240,148,110,534,726,1758
1014,berantevilla,araba/alava,142,68,64,270,392,936
1016,bernedo,araba/alava,126,50,84,330,498,1088
1017,campezo/kanpezu,araba/alava,292,144,192,594,954,2176
1018,zigoitia,araba/alava,604,272,234,1090,1490,3690
1019,kripan,araba/alava,40,32,32,82,170,356
1020,kuartango,araba/alava,132,20,50,218,398,818
1021,elburgo/burgelu,araba/alava,212,98,94,412,466,1282
1022,elciego,araba/alava,314,122,166,520,784,1906
1023,elvillar/bilar,araba/alava,74,50,46,166,304,640
1027,iruraiz-gauna,araba/alava,142,84,102,332,440,1100
1028,labastida/bastida,araba/alava,612,216,292,894,1128,3142
1030,lagran,araba/alava,32,4,32,96,176,340
1031,laguardia,araba/alava,446,192,294,864,1186,2982
1032,lanciego/lantziego,araba/alava,270,74,144,372,518,1378
1033,lapuebla,araba/alava,290,112,178,490,642,1712
1034,leza,araba/alava,62,28,28,136,166,420
1036,laudio/llodio,araba/alava,5432,2234,2948,10114,15212,35940
1037,arraia-maeztu,araba/alava,298,84,102,534,628,1646
1039,moreda,araba/alava,40,22,68,98,202,430
1041,navaridas,araba/alava,58,22,58,96,172,406
1042,okondo,araba/alava,436,144,198,772,830,2380
1043,oyon-oion,araba/alava,1488,556,592,2118,2158,6912
1044,penacerrada-urizaharra,araba/alava,64,34,50,168,288,604
1046,erriberagoitia/ribera,araba/alava,230,102,150,516,690,1688
1047,ribera,araba/alava,496,262,290,918,916,2882
1049,anana,araba/alava,24,4,36,76,146,286
1051,agurain/salvatierra,araba/alava,2196,696,920,3170,3312,10294
1052,samaniego,araba/alava,98,44,64,128,246,580
1053,san,araba/alava,208,86,108,386,654,1442
1054,urkabustaiz,araba/alava,556,204,264,978,916,2918
1055,valdegovia/gaubea,araba/alava,198,116,194,514,1120,2142
1056,harana/valle,araba/alava,36,20,30,74,268,428
1057,villabuena,araba/alava,58,26,52,156,272,564
1058,legutio,araba/alava,754,242,384,1398,1386,4164
1059,vitoria-gasteiz,araba/alava,85894,35360,51166,154436,187958,514814
1060,yecora/iekora,araba/alava,76,46,50,120,236,528
1061,zalduondo,araba/alava,42,32,28,130,156,388
1062,zambrana,araba/alava,114,52,74,264,372,876
1063,zuia,araba/alava,648,434,452,1230,2018,4782
1901,iruna,araba/alava,1336,574,686,2600,2024,7220
1902,lantaron,araba/alava,206,118,152,498,878,1852
2001,abengibre,albacete,116,76,156,392,780,1520
2002,alatoz,albacete,86,72,76,246,530,1010
2003,albacete,albacete,61232,27234,39346,105912,114422,348146
2004,albatana,albacete,152,96,152,284,642,1326
2005,alborea,albacete,142,84,168,352,636,1382
2006,alcadozo,albacete,140,106,108,326,604,1284
2007,alcala,albacete,228,128,232,550,1128,2266
2008,alcaraz,albacete,352,186,240,704,1136,2618
2009,almansa,albacete,7854,3524,5134,14160,17972,48644
2010,alpera,albacete,712,338,494,1262,1756,4562
2011,ayna,albacete,62,42,112,280,718,1214
2012,balazote,albacete,784,368,630,1420,1568,4770
2013,balsa,albacete,12,12,10,74,148,256
2014,"ballestero,",albacete,108,40,68,206,400,822
2015,barrax,albacete,550,344,490,1084,1300,3768
2016,bienservida,albacete,102,44,122,246,588,1102
2017,bogarra,albacete,112,50,94,336,910,1502
2018,bonete,albacete,224,126,214,484,878,1926
2019,"bonillo,",albacete,574,424,574,1390,2286,5248
2020,carcelen,albacete,106,64,88,226,508,992
2021,casas,albacete,460,192,336,772,978,2738
2022,casas,albacete,8,36,50,130,402,626
2023,casas,albacete,88,74,98,238,612,1110
2024,casas-ibanez,albacete,1446,730,1058,2582,3310,9126
2025,caudete,albacete,3802,1504,2222,5790,7268,20586
2026,cenizate,albacete,372,174,300,626,862,2334
2027,corral-rubio,albacete,64,36,60,140,302,602
2028,cotillas,albacete,12,10,24,48,160,254
2029,chinchilla,albacete,1644,584,1120,3188,2800,9336
2030,elche,albacete,1096,472,824,1950,2834,7176
2031,ferez,albacete,140,102,112,298,564,1216
2032,fuensanta,albacete,52,20,36,166,324,598
2033,fuente-alamo,albacete,744,388,578,1282,1848,4840
2034,fuentealbilla,albacete,496,242,452,1008,1416,3614
2035,"gineta,",albacete,1008,302,620,1698,1590,5218
2036,golosalvo,albacete,8,10,12,30,108,168
2037,hellin,albacete,10724,5342,7576,18162,20042,61846
2038,"herrera,",albacete,80,32,72,178,268,630
2039,higueruela,albacete,278,170,250,588,1006,2292
2040,hoya-gonzalo,albacete,120,88,106,334,548,1196
2041,jorquera,albacete,40,46,54,210,364,714
2042,letur,albacete,164,138,216,394,930,1842
2043,lezuza,albacete,240,166,302,658,1270,2636
2044,lietor,albacete,172,134,220,508,1096,2130
2045,madrigueras,albacete,1624,592,962,2676,3442,9296
2046,mahora,albacete,472,204,330,878,1086,2970
2047,masegoso,albacete,0,10,18,40,162,230
2048,minaya,albacete,366,156,216,756,1318,2812
2049,molinicos,albacete,102,56,136,386,900,1580
2050,montalvos,albacete,16,4,8,36,98,162
2051,montealegre,albacete,582,298,456,1128,1626,4090
2052,motilleja,albacete,224,70,182,380,502,1358
2053,munera,albacete,932,532,790,1794,2736,6784
2054,navas,albacete,154,64,134,274,432,1058
2055,nerpio,albacete,218,162,218,610,1092,2300
2056,ontur,albacete,498,256,406,996,1622,3778
2057,ossa,albacete,538,298,446,1236,1912,4430
2058,paterna,albacete,62,20,52,184,360,678
2059,penascosa,albacete,42,28,66,168,354,658
2060,penas,albacete,246,156,306,852,1394,2954
2061,petrola,albacete,116,70,136,290,718,1330
2062,povedilla,albacete,60,46,74,188,420,788
2063,pozohondo,albacete,366,200,300,778,1450,3094
2064,pozo-lorente,albacete,46,54,90,176,412,778
2065,pozuelo,albacete,48,64,106,246,470,934
2066,"recueja,",albacete,22,36,50,90,244,442
2067,riopar,albacete,356,144,272,766,1166,2704
2068,robledo,albacete,96,34,104,212,340,786
2069,"roda,",albacete,5682,2492,3480,9164,10546,31364
2070,salobre,albacete,96,72,82,200,440,890
2071,san,albacete,222,188,276,686,1010,2382
2072,socovos,albacete,382,206,342,904,1500,3334
2073,tarazona,albacete,1972,980,1350,3332,4624,12258
2074,tobarra,albacete,2658,1248,1826,4500,5662,15894
2075,valdeganga,albacete,522,266,382,1114,1652,3936
2076,vianos,albacete,48,32,72,130,358,640
2077,villa,albacete,4,10,14,38,44,110
2078,villalgordo,albacete,260,180,278,584,992,2294
2079,villamalea,albacete,1232,630,914,2312,2906,7994
2080,villapalacios,albacete,110,66,134,268,548,1126
2081,villarrobledo,albacete,8976,4242,5756,14906,16536,50416
2082,villatoya,albacete,6,16,22,66,118,228
2083,villavaliente,albacete,18,16,48,78,248,408
2084,villaverde,albacete,56,26,48,138,356,624
2085,viveros,albacete,42,20,82,104,362,610
2086,yeste,albacete,490,280,456,1166,2668,5060
2901,pozo,albacete,938,448,584,1490,1932,5392
3001,"atzubia,",alicante/alacant,96,54,96,282,666,1194
3002,agost,alicante/alacant,1674,726,1136,2998,3666,10200
3003,agres,alicante/alacant,152,74,142,310,544,1222
3004,aigues,alicante/alacant,392,140,220,736,878,2366
3005,albatera,alicante/alacant,5570,2174,3358,7916,7506,26524
3006,alcalali,alicante/alacant,266,124,222,554,1588,2754
3007,alcosser,alicante/alacant,62,34,44,156,224,520
3008,alcoleja,alicante/alacant,46,8,30,90,206,380
3009,alcoi/alcoy,alicante/alacant,19238,9694,13182,34196,44584,120894
3010,alfafara,alicante/alacant,100,64,86,200,374,824
3011,alfàs,alicante/alacant,6012,2934,4082,11432,16390,40850
3012,algorfa,alicante/alacant,964,378,496,1736,3864,7438
3013,alguena,alicante/alacant,420,156,226,738,1124,2664
3014,alacant/alicante,alicante/alacant,121466,55248,83236,216848,240418,717216
3015,almoradi,alicante/alacant,9666,3634,5124,13782,12588,44794
3016,almudaina,alicante/alacant,16,22,26,64,108,236
3017,alqueria,alicante/alacant,150,90,106,366,322,1034
3018,altea,alicante/alacant,7346,3550,4922,14424,18456,48698
3019,aspe,alicante/alacant,8400,3322,4654,13644,13780,43800
3020,balones,alicante/alacant,16,22,30,58,138,264
3021,banyeres,alicante/alacant,2436,1162,1608,4146,5228,14580
3022,benasau,alicante/alacant,38,16,18,90,180,342
3023,beneixama,alicante/alacant,534,186,346,962,1360,3388
3024,benejuzar,alicante/alacant,2076,924,1330,3302,3806,11438
3025,benferri,alicante/alacant,818,278,422,1338,1252,4108
3026,beniarbeig,alicante/alacant,820,346,480,1514,1730,4890
3027,beniardà,alicante/alacant,52,32,40,146,214,484
3028,beniarres,alicante/alacant,194,152,226,528,1092,2192
3029,benigembla,alicante/alacant,100,52,70,248,668,1138
3030,benidoleig,alicante/alacant,266,140,210,636,1232,2484
3031,benidorm,alicante/alacant,21828,10034,17398,44838,55048,149146
3032,benifallim,alicante/alacant,22,16,14,72,108,232
3033,benifato,alicante/alacant,20,16,30,64,158,288
3034,benijofar,alicante/alacant,908,384,606,1568,3576,7042
3035,benilloba,alicante/alacant,142,94,138,362,762,1498
3036,benillup,alicante/alacant,34,10,18,68,90,220
3037,benimantell,alicante/alacant,148,44,116,312,464,1084
3038,benimarfull,alicante/alacant,92,52,80,240,428,892
3039,benimassot,alicante/alacant,8,10,24,40,110,192
3040,benimeli,alicante/alacant,128,40,38,210,494,910
3041,benissa,alicante/alacant,3772,1664,2308,6980,10066,24790
3042,poble,alicante/alacant,1460,480,880,2654,4444,9918
3043,biar,alicante/alacant,1182,510,682,2088,2806,7268
3044,bigastro,alicante/alacant,2922,1152,1856,4632,4270,14832
3045,bolulla,alicante/alacant,88,70,72,280,450,960
3046,busot,alicante/alacant,1036,486,608,2110,2958,7198
3047,calp,alicante/alacant,8502,3684,5908,15272,19908,53274
3048,callosa,alicante/alacant,2738,1238,1782,5116,5264,16138
3049,callosa,alicante/alacant,8642,3124,4482,11844,11076,39168
3050,"campello,",alicante/alacant,9928,4456,5720,18636,22778,61518
3051,camp,alicante/alacant,120,74,96,228,378,896
3052,canada,alicante/alacant,420,182,254,708,890,2454
3053,castalla,alicante/alacant,3878,1524,2740,7108,7946,23196
3054,castell,alicante/alacant,84,36,84,214,482,900
3055,catral,alicante/alacant,3500,1486,1872,5516,6612,18986
3056,cocentaina,alicante/alacant,3764,1576,2240,6368,8826,22774
3057,confrides,alicante/alacant,70,26,48,168,290,602
3058,cox,alicante/alacant,3128,1150,1766,4826,4346,15216
3059,crevillent,alicante/alacant,11888,4726,6706,18256,19284,60860
3060,quatretondeta,alicante/alacant,18,12,26,68,142,266
3061,daya,alicante/alacant,560,260,348,980,1562,3710
3062,daya,alicante/alacant,104,70,110,270,766,1320
3063,denia,alicante/alacant,14676,7176,10212,28268,34000,94332
3064,dolores,alicante/alacant,3158,1204,1942,4562,5304,16170
3065,elx/elche,alicante/alacant,87024,37864,53506,151046,155194,484634
3066,elda,alicante/alacant,18042,7702,11700,30952,39454,107850
3067,fageca,alicante/alacant,4,0,20,56,122,202
3068,famorca,alicante/alacant,0,2,10,10,66,88
3069,finestrat,alicante/alacant,3576,1048,2020,6712,5422,18778
3070,formentera,alicante/alacant,1642,684,958,2640,3572,9496
3071,gata,alicante/alacant,2102,1066,1524,3884,4812,13388
3072,gaianes,alicante/alacant,186,46,84,328,480,1124
3073,gorga,alicante/alacant,68,14,82,152,260,576
3074,granja,alicante/alacant,1102,386,582,1966,1410,5446
3075,castell,alicante/alacant,60,32,66,148,246,552
3076,guardamar,alicante/alacant,5748,2400,3286,10678,14014,36126
3077,fondo,alicante/alacant,552,272,412,1304,2910,5450
3078,hondon,alicante/alacant,238,92,144,542,1576,2592
3079,ibi,alicante/alacant,8012,3732,5198,14914,16722,48578
3080,jacarilla,alicante/alacant,630,322,512,1140,1642,4246
3081,xalo,alicante/alacant,894,326,524,1626,2776,6146
3082,xàbia/javea,alicante/alacant,9978,4300,6338,17258,23090,60964
3083,xixona/jijona,alicante/alacant,2298,972,1618,4144,5558,14590
3084,"orxa,",alicante/alacant,128,68,124,264,590,1174
3085,lliber,alicante/alacant,226,76,154,426,1102,1984
3086,millena,alicante/alacant,40,30,42,134,258,504
3088,monforte,alicante/alacant,3444,1296,2046,6474,4774,18034
3089,monòver/monovar,alicante/alacant,4226,1676,2614,7512,9488,25516
3090,mutxamel,alicante/alacant,10440,4518,5786,18438,16452,55634
3091,murla,alicante/alacant,106,48,68,220,728,1170
3092,muro,alicante/alacant,3434,1472,1824,5756,6164,18650
3093,novelda,alicante/alacant,8616,4170,5964,15892,17644,52286
3094,"nucia,",alicante/alacant,7076,2862,3666,12806,11584,37994
3095,ondara,alicante/alacant,2586,1078,1802,4782,4766,15014
3096,onil,alicante/alacant,2634,1150,1718,4858,5638,15998
3097,orba,alicante/alacant,616,216,326,1082,2586,4826
3098,orxeta,alicante/alacant,260,94,176,566,728,1824
3099,orihuela,alicante/alacant,27880,12040,16936,46916,62924,166696
3100,parcent,alicante/alacant,194,110,206,454,1098,2062
3101,pedreguer,alicante/alacant,2732,1154,1738,5082,6642,17348
3102,pego,alicante/alacant,3016,1514,1982,5982,8846,21340
3103,penàguila,alicante/alacant,58,38,54,166,276,592
3104,petrer,alicante/alacant,11612,5414,6588,21058,23506,68178
3105,"pinos,",alicante/alacant,2714,1254,1668,4934,6304,16874
3106,planes,alicante/alacant,132,94,120,320,736,1402
3107,polop,alicante/alacant,2136,700,1096,4006,3496,11434
3109,rafal,alicante/alacant,2090,928,1136,3032,2548,9734
3110,ràfol,alicante/alacant,176,72,114,362,714,1438
3111,redovan,alicante/alacant,3178,1382,2076,5178,4758,16572
3112,relleu,alicante/alacant,240,154,170,780,1236,2580
3113,rojales,alicante/alacant,3906,1574,2494,7166,18838,33978
3114,"romana,",alicante/alacant,756,344,436,1486,2338,5360
3115,sagra,alicante/alacant,98,32,62,228,464,884
3116,salinas,alicante/alacant,538,226,308,1036,1452,3560
3117,sanet,alicante/alacant,158,96,88,342,788,1472
3118,san,alicante/alacant,1838,762,1166,3836,11572,19174
3119,sant,alicante/alacant,8992,4298,5424,16136,16816,51666
3120,san,alicante/alacant,2210,770,1278,3562,6400,14220
3121,santa,alicante/alacant,12644,4924,8146,25350,25770,76834
3122,sant,alicante/alacant,21682,10454,13398,39680,35616,120830
3123,sax,alicante/alacant,3542,1526,2168,6018,7116,20370
3124,sella,alicante/alacant,126,60,114,386,528,1214
3125,senija,alicante/alacant,230,98,132,418,512,1390
3127,tàrbena,alicante/alacant,116,70,104,336,648,1274
3128,teulada,alicante/alacant,3512,1824,2624,6870,10884,25714
3129,tibi,alicante/alacant,458,202,352,1118,1514,3644
3130,tollos,alicante/alacant,0,4,8,20,44,76
3131,tormos,alicante/alacant,66,20,46,134,402,668
3132,torre,alicante/alacant,146,82,164,392,708,1492
3133,torrevieja,alicante/alacant,32222,12982,20626,57122,68568,191520
3134,vall,alicante/alacant,28,14,28,88,192,350
3135,vall,alicante/alacant,26,32,44,98,266,466
3136,vall,alicante/alacant,132,32,94,330,588,1176
3137,vall,alicante/alacant,210,72,134,482,922,1820
3138,"verger,",alicante/alacant,1674,664,1194,3314,3830,10676
3139,vila,alicante/alacant,12176,5360,8164,23336,24888,73924
3140,villena,alicante/alacant,12162,5198,7312,20352,23722,68746
3901,"poblets,",alicante/alacant,620,272,348,1336,2864,5440
3902,pilar,alicante/alacant,8472,3390,5276,13622,17030,47790
3903,"montesinos,",alicante/alacant,1928,784,1236,3142,4242,11332
3904,san,alicante/alacant,950,296,632,1550,1240,4668
4001,abla,almeria,336,152,290,652,1124,2554
4002,abrucena,almeria,278,148,266,610,1166,2468
4003,adra,almeria,9600,4258,6536,15748,14722,50864
4004,albanchez,almeria,126,78,84,304,770,1362
4005,alboloduy,almeria,138,60,102,326,540,1166
4006,albox,almeria,4634,1846,2914,7168,8458,25020
4007,alcolea,almeria,206,94,224,360,778,1662
4008,alcontar,almeria,92,62,114,240,604,1112
4009,alcudia,almeria,22,14,16,74,132,258
4010,alhabia,almeria,206,124,170,456,508,1464
4011,alhama,almeria,1426,594,978,2228,2582,7808
4012,alicun,almeria,48,32,52,104,192,428
4013,almeria,almeria,76000,31502,47156,121776,127458,403892
4014,almocita,almeria,44,22,56,114,190,426
4015,alsodux,almeria,8,10,20,76,160,274
4016,antas,almeria,1200,494,832,2106,2246,6878
4017,arboleas,almeria,586,340,450,1542,5674,8592
4018,armuna,almeria,54,66,78,160,302,660
4019,bacares,almeria,22,24,44,88,300,478
4020,bayarcal,almeria,74,52,48,168,258,600
4021,bayarque,almeria,38,56,26,116,210,446
4022,bedar,almeria,112,82,120,386,1252,1952
4023,beires,almeria,10,12,22,82,170,296
4024,benahadux,almeria,2200,706,1206,3134,2384,9630
4026,benitagla,almeria,6,2,10,32,68,118
4027,benizalon,almeria,32,20,42,138,268,500
4028,bentarique,almeria,54,18,20,128,236,456
4029,berja,almeria,4814,2122,3540,7722,7570,25768
4030,canjayar,almeria,210,122,228,552,1148,2260
4031,cantoria,almeria,890,438,622,1834,3352,7136
4032,carboneras,almeria,3194,1274,1924,5182,5338,16912
4033,castro,almeria,4,10,18,42,130,204
4034,cobdar,almeria,36,20,46,90,196,388
4035,cuevas,almeria,6490,2286,3654,9146,8656,30232
4036,chercos,almeria,56,54,60,188,262,620
4037,chirivel,almeria,436,180,312,784,1446,3158
4038,dalias,almeria,1554,638,1004,2420,2700,8316
4041,enix,almeria,144,70,110,396,486,1206
4043,felix,almeria,172,106,152,486,624,1540
4044,fines,almeria,774,332,598,1466,1380,4550
4045,finana,almeria,548,302,466,984,1736,4036
4046,fondon,almeria,242,150,202,622,1050,2266
4047,gador,almeria,1202,472,804,1802,1868,6148
4048,"gallardos,",almeria,894,392,550,1482,2838,6156
4049,garrucha,almeria,4148,1738,2694,6914,5556,21050
4050,gergal,almeria,372,160,316,724,820,2392
4051,huecija,almeria,162,62,136,264,448,1072
4052,huercal,almeria,8858,3360,3986,13740,7452,37396
4053,huercal-overa,almeria,7940,3220,4610,12544,12836,41150
4054,illar,almeria,98,58,108,240,430,934
4055,instincion,almeria,162,90,70,258,424,1004
4056,laroya,almeria,52,26,52,128,164,422
4057,laujar,almeria,556,232,316,882,1324,3310
4058,lijar,almeria,78,32,76,194,410,790
4059,lubrin,almeria,322,164,206,718,1496,2906
4060,lucainena,almeria,238,74,162,468,514,1456
4061,lucar,almeria,230,94,164,474,694,1656
4062,macael,almeria,1788,830,1176,3266,3896,10956
4063,maria,almeria,248,164,240,594,1150,2396
4064,mojacar,almeria,1858,810,1248,3782,7212,14910
4065,nacimiento,almeria,120,78,122,268,420,1008
4066,nijar,almeria,15332,5452,10748,21696,13468,66696
4067,ohanes,almeria,72,64,100,268,594,1098
4068,olula,almeria,12,24,38,88,202,364
4069,olula,almeria,2212,1128,1516,3890,4112,12858
4070,oria,almeria,406,238,354,1084,2384,4466
4071,padules,almeria,80,60,52,212,474,878
4072,partaloa,almeria,90,62,94,288,1244,1778
4073,paterna,almeria,68,40,76,218,390,792
4074,pechina,almeria,1994,712,1046,2912,2356,9020
4075,pulpi,almeria,4626,2242,3640,7800,5938,24246
4076,purchena,almeria,528,252,308,826,1156,3070
4077,ragol,almeria,46,38,34,172,308,598
4078,rioja,almeria,642,234,382,1044,922,3224
4079,roquetas,almeria,44806,17482,30320,74780,49308,216696
4080,santa,almeria,26,28,38,124,272,488
4081,santa,almeria,142,72,140,270,386,1010
4082,senes,almeria,12,30,62,144,314,562
4083,seron,almeria,560,270,438,1154,1878,4300
4084,sierro,almeria,62,32,76,232,354,756
4085,somontin,almeria,98,72,114,288,480,1052
4086,sorbas,almeria,752,288,522,1302,2144,5008
4087,sufli,almeria,28,34,56,134,206,458
4088,tabernas,almeria,1364,574,1090,2426,2700,8154
4089,taberno,almeria,290,116,178,490,850,1924
4090,tahal,almeria,62,56,54,224,352,748
4091,terque,almeria,94,46,76,190,374,780
4092,tijola,almeria,1086,672,842,2024,2462,7086
4093,turre,almeria,1340,552,864,2342,3584,8682
4094,turrillas,almeria,40,30,54,140,262,526
4095,uleila,almeria,178,128,148,428,760,1642
4096,urracal,almeria,52,40,104,156,362,714
4097,velefique,almeria,8,14,56,102,312,492
4098,velez-blanco,almeria,420,234,422,1064,1764,3904
4099,velez-rubio,almeria,2042,958,1488,3522,5144,13154
4100,vera,almeria,7988,3192,4510,12606,10536,38832
4101,viator,almeria,2754,1004,1746,4324,2840,12668
4102,vicar,almeria,12654,4882,8854,18826,11794,57010
4103,zurgena,almeria,666,306,400,1466,3068,5906
4901,tres,almeria,94,60,106,290,600,1150
4902,"ejido,",almeria,40262,15038,23986,59322,40316,178924
4903,"mojonera,",almeria,3976,1566,2578,5202,3770,17092
4904,balanegra,almeria,1116,506,866,1956,1610,6054
5001,adanero,avila,34,38,38,138,182,430
5002,"adrada,",avila,946,376,498,1748,2102,5670
5005,albornos,avila,22,28,30,90,180,350
5007,aldeanueva,avila,10,10,8,54,120,202
5008,aldeaseca,avila,48,14,42,96,208,408
5010,"aldehuela,",avila,20,12,26,72,160,290
5012,amavida,avila,28,14,20,52,152,266
5013,"arenal,",avila,198,90,144,480,1064,1976
5014,arenas,avila,1762,752,1034,3504,5888,12940
5015,arevalillo,avila,6,4,14,18,76,118
5016,arevalo,avila,2500,1248,1556,4456,5956,15716
5017,aveinte,avila,0,2,18,28,98,146
5018,avellaneda,avila,0,2,4,8,32,46
5019,avila,avila,20448,8774,11982,33484,43550,118238
5021,barco,avila,680,298,348,1232,2056,4614
5022,"barraco,",avila,548,248,406,1026,1816,4044
5023,barroman,avila,10,16,36,64,224,350
5024,becedas,avila,8,4,10,56,232,310
5025,becedillas,avila,6,2,8,38,84,138
5026,bercial,avila,8,10,34,92,202,346
5027,"berlanas,",avila,58,42,64,156,326,646
5029,bernuy-zapardiel,avila,6,4,12,34,118,174
5030,berrocalejo,avila,16,4,12,34,46,112
5033,blascomillan,avila,20,18,34,68,196,336
5034,blasconuno,avila,0,0,0,6,22,28
5035,blascosancho,avila,16,10,18,58,94,196
5036,"bohodon,",avila,4,8,12,58,142,224
5037,bohoyo,avila,28,20,26,88,268,430
5038,bonilla,avila,20,24,20,84,178,326
5039,brabos,avila,0,2,10,12,50,74
5040,bularros,avila,0,4,6,20,80,110
5041,burgohondo,avila,336,116,246,688,1126,2512
5042,cabezas,avila,18,18,28,86,158,308
5043,cabezas,avila,8,6,6,38,108,166
5044,cabezas,avila,30,24,22,114,288,478
5045,cabizuela,avila,18,2,24,40,94,178
5046,canales,avila,8,4,2,24,32,70
5047,candeleda,avila,1324,600,838,2832,4460,10054
5048,cantiveros,avila,2,12,16,26,142,198
5049,cardenosa,avila,54,60,78,190,462,844
5051,"carrera,",avila,20,24,14,84,178,320
5052,casas,avila,2,2,12,34,114,164
5053,casasola,avila,4,0,4,32,90,130
5054,casavieja,avila,340,152,208,796,1312,2808
5055,casillas,avila,148,72,126,294,698,1338
5056,castellanos,avila,6,12,28,50,128,224
5057,cebreros,avila,966,486,610,1750,2690,6502
5058,cepeda,avila,4,4,12,36,78,134
5059,cillan,avila,8,2,22,16,108,156
5060,cisla,avila,8,12,22,36,130,208
5061,"colilla,",avila,126,58,86,250,222,742
5062,collado,avila,8,20,28,46,192,294
5063,collado,avila,0,0,2,6,34,42
5064,constanzana,avila,14,6,14,32,132,198
5065,crespos,avila,80,42,74,236,538,970
5066,cuevas,avila,92,50,104,248,542,1036
5067,chamartin,avila,2,6,14,36,68,126
5069,donjimeno,avila,4,6,8,42,84,144
5070,donvidas,avila,2,2,12,14,40,70
5072,espinosa,avila,30,6,14,68,80,198
5073,flores,avila,36,18,40,130,322,546
5074,fontiveros,avila,140,74,142,350,748,1454
5075,fresnedilla,avila,16,6,10,44,120,196
5076,"fresno,",avila,190,70,132,358,456,1206
5077,fuente,avila,22,22,10,76,174,304
5078,fuentes,avila,2,0,14,34,126,176
5079,gallegos,avila,6,2,12,28,70,118
5080,gallegos,avila,6,0,2,30,50,88
5081,garganta,avila,4,8,0,18,48,78
5082,gavilanes,avila,96,66,70,240,586,1058
5083,gemuno,avila,34,10,20,72,154,290
5084,gilbuena,avila,0,0,2,16,76,94
5085,gil,avila,16,6,2,28,44,96
5086,gimialcon,avila,2,4,14,42,90,152
5087,gotarrendura,avila,28,16,16,80,192,332
5088,grandes,avila,2,10,2,24,32,70
5089,guisando,avila,46,52,86,218,554,956
5090,gutierre-munoz,avila,2,2,14,32,80,130
5092,hernansancho,avila,18,10,14,76,166,284
5093,herradon,avila,116,42,82,322,484,1046
5094,herreros,avila,38,10,22,78,148,296
5095,higuera,avila,62,20,38,136,282,538
5096,hija,avila,10,4,14,26,100,154
5097,"horcajada,",avila,60,34,88,210,516,908
5099,horcajo,avila,68,42,58,216,492,876
5100,"hornillo,",avila,32,24,48,116,340,560
5101,hoyocasero,avila,18,32,52,144,374,620
5102,hoyo,avila,726,258,394,1218,1772,4368
5103,hoyorredondo,avila,2,2,10,30,78,122
5104,hoyos,avila,4,2,2,8,42,58
5105,hoyos,avila,58,44,66,162,386,716
5106,hoyos,avila,2,6,2,12,30,52
5107,hurtumpascual,avila,0,2,14,8,64,88
5108,junciana,avila,8,2,0,24,46,80
5109,langa,avila,104,58,112,228,416,918
5110,lanzahita,avila,186,116,130,456,760,1648
5112,losar,avila,22,12,16,66,92,208
5113,llanos,avila,10,0,2,30,84,126
5114,madrigal,avila,198,138,264,664,1338,2602
5115,maello,avila,118,64,130,382,714,1408
5116,malpartida,avila,10,4,6,38,122,180
5117,mamblas,avila,32,6,48,86,220,392
5118,mancera,avila,16,6,16,26,78,142
5119,manjabalago,avila,0,0,4,8,34,46
5120,marlin,avila,2,0,4,16,38,60
5121,martiherrero,avila,98,52,62,238,270,720
5122,martinez,avila,4,6,10,34,164,218
5123,mediana,avila,10,12,30,68,114,234
5124,medinilla,avila,4,0,12,26,114,156
5125,mengamunoz,avila,14,4,12,32,46,108
5126,mesegar,avila,2,2,6,20,104,134
5127,mijares,avila,158,58,126,344,774,1460
5128,mingorria,avila,102,32,86,214,380,814
5129,"miron,",avila,2,2,4,42,146,196
5130,mironcillo,avila,14,12,14,68,118,226
5131,miruena,avila,0,6,10,58,116,190
5132,mombeltran,avila,186,98,142,426,980,1832
5133,monsalupe,avila,8,6,8,20,76,118
5134,moraleja,avila,8,6,4,34,54,106
5135,munana,avila,146,52,124,246,428,996
5136,munico,avila,16,4,12,48,80,160
5138,munogalindo,avila,52,44,58,144,302,600
5139,munogrande,avila,8,2,28,20,100,158
5140,munomer,avila,20,16,34,54,98,222
5141,munopepe,avila,20,12,4,64,108,208
5142,munosancho,avila,4,6,18,30,118,176
5143,munotello,avila,0,0,8,16,74,98
5144,narrillos,avila,2,0,8,24,80,114
5145,narrillos,avila,0,0,4,20,44,68
5147,narros,avila,18,18,36,64,170,306
5148,narros,avila,2,4,4,14,34,58
5149,narros,avila,6,10,10,58,128,212
5151,navacepedilla,avila,18,10,4,60,106,198
5152,nava,avila,94,82,110,346,692,1324
5153,nava,avila,4,2,12,30,118,166
5154,navadijos,avila,4,0,4,18,30,56
5155,navaescurial,avila,12,4,2,32,64,114
5156,navahondilla,avila,58,64,54,200,334,710
5157,navalacruz,avila,14,20,22,108,256,420
5158,navalmoral,avila,84,28,48,166,474,800
