cmun,municipality_clean,province_clean,0-17,18-24,25-34,35-54,55+,total_population
37381,zarza,salamanca,4,8,18,52,184,266
37382,zorita,salamanca,4,14,12,72,198,300
38001,adeje,santa,16202,7762,14542,36406,26946,101858
38002,agulo,santa,162,152,248,538,1144,2244
38003,alajero,santa,484,308,466,1284,1632,4174
38004,arafo,santa,1776,922,1106,3930,3922,11656
38005,arico,santa,2556,1248,2094,6378,6082,18358
38006,arona,santa,26568,13318,24838,59312,51660,175696
38007,barlovento,santa,468,286,412,1152,1812,4130
38008,brena,santa,2160,1104,1654,4562,5384,14864
38009,brena,santa,1816,738,1408,4062,4200,12224
38010,buenavista,santa,1082,568,896,2836,4002,9384
38011,candelaria,santa,9040,4060,6364,19414,19106,57984
