cmun,municipality,municipality_1,municipality_2,province,autonomous_community,latitude,longitude,altitude
2022,Casas de Lázaro,casasdelazaro,,Albacete,Castilla La Mancha,38.77105,-2.241862,955.0565
2023,Casas de Ves,casasdeves,,Albacete,Castilla La Mancha,39.2584,-1.335103,705.2325
2024,Casas-Ibáñez,casasibanez,,Albacete,Castilla La Mancha,39.28518,-1.47113,708.7758
2025,Caudete,caudete,,Albacete,Castilla La Mancha,38.70274,-0.9915481,576.1887
2026,Cenizate,cenizate,,Albacete,Castilla La Mancha,39.3043,-1.661456,709.0714
2027,Corral-Rubio,corralrubio,,Albacete,Castilla La Mancha,38.83509,-1.460988,874.6991
2028,Cotillas,cotillas,,Albacete,Castilla La Mancha,38.4311,-2.506876,937.312
2029,Chinchilla de Monte-Aragón,chinchillademontearagon,,Albacete,Castilla La Mancha,38.91862,-1.722758,886.0651
2030,Elche de la Sierra,elchedelasierra,,Albacete,Castilla La Mancha,38.44759,-2.048343,641.3206
2031,Férez,ferez,,Albacete,Castilla La Mancha,38.35604,-2.010168,678.098
2032,Fuensanta,fuensanta,,Albacete,Castilla La Mancha,39.24641,-2.065142,704.071
2033,Fuente-Álamo,fuentealamo,,Albacete,Castilla La Mancha,38.69322,-1.431773,823.3177
2034,Fuentealbilla,fuentealbilla,,Albacete,Castilla La Mancha,39.26686,-1.549186,664.727
2035,"Gineta, La",ginetala,,Albacete,Castilla La Mancha,39.11287,-1.996003,691.8901
2036,Golosalvo,golosalvo,,Albacete,Castilla La Mancha,39.23994,-1.636626,737.8311
2037,Hellín,hellin,,Albacete,Castilla La Mancha,38.51216,-1.70331,571.8438
2038,"Herrera, La",herrerala,,Albacete,Castilla La Mancha,38.96182,-2.126546,715.7388
2039,Higueruela,higueruela,,Albacete,Castilla La Mancha,38.96424,-1.445101,1038.131
2040,Hoya-Gonzalo,hoyagonzalo,,Albacete,Castilla La Mancha,38.96017,-1.554348,935.8157
2041,Jorquera,jorquera,,Albacete,Castilla La Mancha,39.17475,-1.521044,620.2926
2042,Letur,letur,,Albacete,Castilla La Mancha,38.36555,-2.101964,746.7882
2043,Lezuza,lezuza,,Albacete,Castilla La Mancha,38.94902,-2.353775,916.73
2044,Liétor,lietor,,Albacete,Castilla La Mancha,38.5429,-1.952878,671.197
2045,Madrigueras,madrigueras,,Albacete,Castilla La Mancha,39.23705,-1.800167,692.8739
2046,Mahora,mahora,,Albacete,Castilla La Mancha,39.21283,-1.725332,667.1957
2047,Masegoso,masegoso,,Albacete,Castilla La Mancha,38.71841,-2.315899,1109.367
2048,Minaya,minaya,,Albacete,Castilla La Mancha,39.27149,-2.319947,725.5837
2049,Molinicos,molinicos,,Albacete,Castilla La Mancha,38.46796,-2.237843,857.9905
2050,Montalvos,montalvos,,Albacete,Castilla La Mancha,39.16689,-2.027694,710.0
2051,Montealegre del Castillo,montealegredelcastillo,,Albacete,Castilla La Mancha,38.78697,-1.325303,811.8585
2052,Motilleja,motilleja,,Albacete,Castilla La Mancha,39.1806,-1.791874,679.5121
2053,Munera,munera,,Albacete,Castilla La Mancha,39.03984,-2.482528,934.6063
2054,Navas de Jorquera,navasdejorquera,,Albacete,Castilla La Mancha,39.28074,-1.71904,711.0
2055,Nerpio,nerpio,,Albacete,Castilla La Mancha,38.14801,-2.302496,1084.768
2056,Ontur,ontur,,Albacete,Castilla La Mancha,38.6147,-1.498491,656.9244
2057,Ossa de Montiel,ossademontiel,,Albacete,Castilla La Mancha,38.96335,-2.745406,911.2698
2058,Paterna del Madera,paternadelmadera,,Albacete,Castilla La Mancha,38.59725,-2.346145,1136.959
2059,Peñascosa,penascosa,,Albacete,Castilla La Mancha,38.67118,-2.410708,1170.48
2060,Peñas de San Pedro,penasdesanpedro,,Albacete,Castilla La Mancha,38.72722,-2.004189,1023.151
2061,Pétrola,petrola,,Albacete,Castilla La Mancha,38.82572,-1.557605,878.49
2062,Povedilla,povedilla,,Albacete,Castilla La Mancha,38.70169,-2.603873,871.9346
2063,Pozohondo,pozohondo,,Albacete,Castilla La Mancha,38.72114,-1.911805,872.5624
2064,Pozo-Lorente,pozolorente,,Albacete,Castilla La Mancha,39.07682,-1.506532,773.0806
2065,Pozuelo,pozuelo,,Albacete,Castilla La Mancha,38.80923,-2.100707,850.8868
2066,"Recueja, La",recuejala,,Albacete,Castilla La Mancha,39.17558,-1.490451,541.1991
2067,Riópar,riopar,,Albacete,Castilla La Mancha,38.49912,-2.41725,971.0583
