airport_id,airport_name,latitude,longitude
1,Aeropuerto de Jerez,36.7438277047636,-6.06265814809837
2,Aeropuerto de Vigo,42.2257396738914,-8.63049115796039
3,Aeropuerto de Badajoz,38.8898447912335,-6.82112054312309
4,Aeropuerto de Granada - Jaén F.G.L.,37.1868259276527,-3.7786126652442
5,Aeropuerto de Almería,36.84478113166,-2.37123378142463
6,Aeropuerto de Salamanca ,40.9507572740961,-5.50295520159722
7,Aeropuerto de Ibiza,38.8743519991843,1.37266900621894
8,Aeropuerto de Lanzarote,28.9510445490425,-13.6050201560167
9,Aeropuerto de La Palma,28.622083606032,-17.7536532570936
10,Aeropuerto de Tenerife Norte ,28.4858112731997,-16.3476386680522
11,Aeropuerto de La Gomera,28.0311629769914,-17.2119697040132
12,Aeropuerto de Tenerife Sur ,28.0454877688653,-16.5753063057623
13,Aeropuerto de Gran Canaria,27.9311112769043,-15.3870942940345
14,Aeropuerto de El Hierro,27.8148410023318,-17.886954036627
15,Aeropuerto de Asturias,43.5621961577202,-6.03261831701245
16,Aeropuerto de Valladolid,41.7090200550144,-4.84825418939675
17,Santander-Seve Ballesteros,43.4261455946876,-3.82281575820605
18,Aeropuerto de San Sebastián,43.3564094228721,-1.79160586505353
19,Aeropuerto de Bilbao,43.3025065212424,-2.90835791012765
20,Aeropuerto de Córdoba,37.8438687467462,-4.84694700411443
21,Aeropuerto de A Coruña,43.3027177882044,-8.37750165001967
22,Aeropuerto de Adolfo Suárez Madrid - Barajas,40.4920796899595,-3.57631884464257
23,Aeropuerto de Albacete,38.9496344716691,-1.86316358278324
24,Helipuerto de Algeciras,36.1288084587096,-5.44077633830315
25,Aeropuerto de Alicante - Elche,38.285826141323,-0.563348514739952
26,Aeropuerto de Barcelona - El prat,41.2963022390507,2.0850252848446
27,Aeropuerto de Burgos,42.3543301392194,-3.62168523164284
28,Helipuerto de Ceuta,35.8924021810502,-5.30623120615002
29,Aeropuerto de Fuerteventura,28.4505673866539,-13.8661985363058
30,Aeropuerto de Girona - Costa Brava,41.9009329638745,2.76377619505416
31,Aeropuerto de Huesca Pirineos,42.0766216191812,-0.317632963895441
32,Aeropuerto de León,42.5898283308143,-5.65446326617617
33,Aeropuerto de Logroño - Agoncillo,42.4595949051361,-2.31727738297909
34,Aeropuerto de Madrid - Cuatro vientos,40.3706276418216,-3.78510333992167
35,Aeropuerto de Málaga - Costa del Sol,36.6763094349338,-4.49669999056667
36,Aeropuerto de Melilla,35.2792317919421,-2.9559348902437
37,Aeropuerto de Menorca,39.8644836446801,4.22138582966278
38,Aeropuerto de Murcia - San Javier,37.7730740800218,-0.816984937245996
39,Aeropuerto de Palma de Mallorca,39.5498684081411,2.73182505626748
40,Aeropuerto de Pamplona,42.7651075067292,-1.64277400477519
41,Aeropuerto de Reus,41.1464914532835,1.15850503879409
42,Aeropuerto de Sabadell,41.5209971147811,2.1047916346933
43,Aeropuerto de Santiago,42.8974221736902,-8.41796100595012
44,Aeropuerto de Sevilla,37.4197490237682,-5.89862365719406
45,Aeropuerto de Son Bonet,39.601477659237,2.70527413442138
46,Aeropuerto de Valencia,39.49096862777,-0.480521208090487
47,Aeropuerto de Vitoria,42.8791584512708,-2.73115816137358
48,Aeropuerto de Zaragoza,41.6705496981929,-1.06034883791556
