index,cmun,province,municipality,altitude,longitude,latitude,0-17,18-24,25-34,35-54,55+,male,female,total_population,nearest_airport,closest_distance_airport,nearest_train_station,closest_distance_train,closest_distance_hospital,nearest_hospital,closest_distance_school,nearest_school,koppen_climate,description,number_of_houses,town_size,connectivity_score,connectivity_category,towns_in_vicinity,economy_score,economy_score_area,autonomous_community,hospital_distance_score,school_distance_score,hospital_score_area,school_score_area,train_distance_score,airport_distance_score,transport_score,0-17_pct,18-24_pct,25-34_pct,35-54_pct,55+_pct,age_score,final_age_category,cluster_kmeans,cluster_agg,cluster_dbscan
5036,5151,Ávila,Navacepedilla de Corneja,1254.679,-5.184513,40.48594,9,5,2,30,53,53,46,99,Aeropuerto de Salamanca ,58.20871901322772,Narros Del Castillo,43.71286912996652,45.460432772710746,Hospital Provincial De Ávila,12.22539719919846,Gredos,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers.",223.0,Very Small,0.825,Excellent,"5007, 5012, 5013, 5014, 5015, 5018, 5021, 5024, 5025, 5033, 5037, 5038, 5039, 5040, 5041, 5044, 5047, 5051, 5052, 5053, 5058, 5059, 5061, 5063, 5066, 5067, 5076, 5079, 5080, 5081, 5082, 5083, 5084, 5088, 5089, 5094, 5096, 5097, 5100, 5101, 5103, 5104, 5105, 5106, 5107, 5108, 5110, 5112, 5113, 5116, 5118, 5120, 5121, 5122, 5124, 5125, 5126, 5127, 5129, 5130, 5131, 5132, 5135, 5136, 5138, 5141, 5143, 5144, 5145, 5148, 5153, 5154, 5155, 5157, 5158, 5159, 5160, 5162, 5164, 5165, 5166, 5167, 5169, 5170, 5172, 5176, 5180, 5181, 5182, 5186, 5188, 5189, 5191, 5195, 5197, 5200, 5205, 5207, 5209, 5212, 5213, 5214, 5215, 5216, 5217, 5218, 5221, 5224, 5225, 5226, 5228, 5232, 5233, 5237, 5238, 5239, 5244, 5246, 5247, 5249, 5251, 5252, 5257, 5260, 5261, 5262, 5263, 5265, 5266, 5267, 5901, 5903, 5904, 5905, 37007, 37024, 37029, 37035, 37103, 37114, 37141, 37143, 37146, 37155, 37162, 37169, 37174, 37178, 37179, 37218, 37235, 37242, 37261, 37276, 37277, 37296, 37297, 37315, 37319, 37330",0.0,0.29265625,Castilla y León,1,6,0.5,3.0,1,3,2.0,9.090909090909092,5.05050505050505,2.0202020202020203,30.303030303030305,53.535353535353536,-21.212121212121215,Highly Aging Town,0,0,-1
3045,50231,Zaragoza,Salillas de Jalón,334.7121,-1.324482,41.56659,57,25,31,116,132,176,185,361,Aeropuerto de Zaragoza,24.858133840757635,Salillas De Jalon,0.1658345701478025,32.340568300562936,Hospital Viamed Montecanal,4.520408139865666,Domingo Jim�nez Beltr�n,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures.",299.0,Small,0.922,Excellent,"50003, 50004, 50005, 50006, 50007, 50008, 50010, 50011, 50013, 50014, 50018, 50024, 50025, 50026, 50027, 50029, 50031, 50032, 50043, 50044, 50046, 50052, 50053, 50055, 50056, 50057, 50060, 50061, 50064, 50066, 50067, 50068, 50069, 50073, 50079, 50080, 50086, 50088, 50089, 50093, 50098, 50099, 50107, 50110, 50111, 50113, 50114, 50118, 50121, 50123, 50126, 50131, 50132, 50134, 50143, 50146, 50147, 50150, 50153, 50156, 50159, 50160, 50162, 50163, 50166, 50167, 50169, 50175, 50177, 50180, 50181, 50182, 50187, 50196, 50198, 50200, 50201, 50202, 50204, 50209, 50211, 50212, 50216, 50217, 50221, 50223, 50225, 50228, 50229, 50236, 50241, 50242, 50243, 50247, 50249, 50250, 50252, 50254, 50255, 50257, 50258, 50262, 50264, 50266, 50269, 50272, 50275, 50286, 50290, 50297",0.0,3.4957015909090905,Aragón,1,10,0.5,5.0,10,6,8.0,15.789473684210526,6.9252077562326875,8.587257617728532,32.13296398891966,36.56509695290859,25.346260387811625,Balanced Town,1,5,-1
3788,43103,Tarragona,Perafort,124.8244,1.256016,41.19201,273,121,140,480,305,679,640,1319,Aeropuerto de Reus,9.618598867267288,Camp De Tarragona,1.4985736132779028,7.628451469060432,Hospital Universitari Joan Xxiii De Tarragona,0.4000000627034718,Llar d'infants Perafort,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures.",552.0,Mid,0.9745,Excellent,"8021, 8058, 8065, 8074, 8085, 8154, 8168, 8227, 8251, 8288, 8307, 25009, 25081, 25097, 25154, 25169, 25218, 25238, 25253, 25255, 43001, 43002, 43003, 43005, 43007, 43009, 43010, 43011, 43012, 43015, 43016, 43017, 43020, 43021, 43024, 43028, 43029, 43030, 43031, 43033, 43034, 43036, 43037, 43038, 43039, 43042, 43043, 43045, 43046, 43047, 43049, 43050, 43051, 43053, 43054, 43055, 43057, 43059, 43061, 43066, 43074, 43076, 43079, 43080, 43081, 43083, 43086, 43088, 43089, 43090, 43091, 43092, 43095, 43096, 43097, 43098, 43100, 43101, 43105, 43107, 43108, 43109, 43111, 43112, 43114, 43115, 43116, 43118, 43119, 43120, 43122, 43123, 43124, 43126, 43127, 43128, 43129, 43130, 43132, 43134, 43135, 43137, 43139, 43140, 43141, 43142, 43143, 43144, 43145, 43146, 43147, 43148, 43151, 43153, 43154, 43157, 43158, 43160, 43161, 43163, 43164, 43165, 43166, 43167, 43168, 43169, 43170, 43171, 43172, 43176, 43178, 43905",4.35,14.150973863636365,Cataluña,8,10,4.0,5.0,10,10,10.0,20.697498104624714,9.173616376042457,10.614101592115238,36.39120545868082,23.12357846853677,60.65200909780138,Very Young Town,2,5,-1
4859,28135,Madrid,Santa María de la Alameda,1411.015,-4.257937,40.5957,227,89,120,472,608,817,699,1516,Aeropuerto de Madrid - Cuatro vientos,47.24330112528073,Santa Maria De La Alameda-Peguerinos,3.1145952739746825,11.78551672547312,Hospital El Escorial,2.977127717150751,EEI-CN Capulin,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers.",1841.0,Mid,0.863,Excellent,"5019, 5022, 5030, 5057, 5093, 5102, 5115, 5123, 5128, 5156, 5161, 5168, 5173, 5184, 5201, 5206, 5211, 5222, 5229, 5241, 5243, 5245, 5902, 28008, 28010, 28018, 28022, 28023, 28026, 28031, 28038, 28042, 28044, 28046, 28047, 28051, 28054, 28056, 28061, 28068, 28072, 28080, 28082, 28087, 28090, 28093, 28095, 28096, 28099, 28109, 28119, 28125, 28127, 28128, 28131, 28133, 28141, 28152, 28159, 28160, 28171, 28174, 28175, 28176, 28177, 28178, 28183, 40001, 40028, 40104, 40105, 40107, 40111, 40119, 40122, 40131, 40135, 40146, 40152, 40211, 40223, 40225, 40233, 40901, 40904",5.85,27.051954411764704,Comunidad de Madrid,6,10,3.0,5.0,10,4,7.0,14.973614775725594,5.8707124010554095,7.9155672823219,31.13456464379947,40.105540897097626,15.732189973614766,Balanced Town,2,4,-1
6564,3081,Alicante,Xaló,196.9115,-0.0120761,38.73989,447,163,262,813,1388,1530,1543,3073,Aeropuerto de Alicante - Elche,69.65804342091185,Cocentaina,37.81871286924839,9.705031380675656,Centro Médico Acuario,0.1294843430933333,Municipal,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters.",2237.0,Big,0.8145,Excellent,"3006, 3008, 3011, 3016, 3017, 3018, 3020, 3022, 3026, 3028, 3029, 3030, 3031, 3032, 3033, 3035, 3036, 3037, 3038, 3039, 3040, 3041, 3042, 3045, 3048, 3054, 3056, 3057, 3060, 3063, 3068, 3069, 3071, 3072, 3073, 3075, 3084, 3085, 3086, 3091, 3092, 3094, 3095, 3097, 3098, 3100, 3101, 3102, 3103, 3106, 3107, 3110, 3112, 3115, 3117, 3124, 3125, 3127, 3128, 3130, 3131, 3132, 3134, 3135, 3137, 3139, 3901, 46002, 46023, 46033, 46034, 46037, 46043, 46046, 46048, 46055, 46056, 46057, 46061, 46066, 46090, 46091, 46113, 46131, 46140, 46143, 46146, 46150, 46153, 46168, 46175, 46181, 46185, 46187, 46188, 46195, 46196, 46198, 46200, 46208, 46210, 46219, 46221, 46240",10.85,19.31154567307692,Comunidad Valenciana,8,10,4.0,5.0,1,3,2.0,14.54604620891637,5.304262935242434,8.525870484868207,26.456231695411645,45.16758867556134,1.5619915392124994,Aging Town,4,3,-1
