,18-24,25-34,35-54
469,16,26,43
471,325,497,1402
472,5,9,29
473,546,377,1070
475,239,315,936
476,91,131,339
478,3,7,28
479,4,8,21
480,0,1,9
481,244,404,1516
482,84,131,464
483,12,5,27
484,1,3,11
485,28,46,170
486,6,11,25
487,0,7,24
488,22,26,90
489,21,40,134
490,18,40,58
492,15,19,65
493,4,9,40
494,8,8,28
495,10,1,64
497,22,39,137
498,13,43,118
499,109,160,534
500,5,11,35
501,192,346,1061
502,44,114,358
503,31,58,212
504,5,8,29
505,101,185,537
506,218,338,1298
507,211,214,763
508,11,24,70
510,160,240,857
511,15,34,110
512,23,24,80
513,2,13,20
514,10,15,37
515,59,76,249
516,29,59,147
517,13,14,29
518,4,13,33
519,9,14,40
520,1,2,20
521,15,34,134
522,18,37,115
523,10,21,60
524,13,15,80
525,42,51,267
526,44,81,206
528,13,24,112
529,1,3,6
530,92,121,598
531,39,52,181
532,4,1,0
533,356,460,1319
534,83,127,528
535,9,29,84
536,43,89,295
537,16,32,93
538,40,77,279
539,6,29,87
540,2,4,26
541,52,49,117
542,16,71,190
543,72,179,459
544,3,16,31
546,60,122,317
547,20,18,96
548,7,15,52
549,4,6,39
550,5,10,41
551,2,5,18
552,12,13,41
553,3,7,32
554,16,21,83
555,7,6,25
556,142,193,722
557,98,140,376
558,2,3,14
559,210,381,1023
560,110,198,595
561,1,3,12
562,51,75,258
563,2,9,35
564,54,86,201
565,17,42,102
566,7,16,42
567,20,33,83
568,131,145,459
569,7,11,44
570,31,29,135
571,121,138,662
572,12,22,44
573,5,8,32
574,128,222,653
575,53,81,252
576,1,2,10
577,5,7,45
578,6,10,53
579,13,12,32
580,3,4,13
581,51,39,182
582,16,29,62
583,399,760,2001
584,139,249,761
586,3,4,20
587,7,6,20
588,357,509,1718
589,54,63,211
590,62,73,346
591,14,15,85
592,72,96,297
593,7,14,31
594,6,11,31
595,3,3,11
596,6,6,22
597,23,25,76
600,3,5,21
601,19,15,57
602,30,86,318
603,9,15,64
604,19,34,97
605,34,32,135
606,11,25,41
607,0,0,7
608,10,14,53
609,6,10,43
610,17,25,77
611,16,67,217
612,71,92,260
613,0,0,5
614,0,0,2
615,16,16,75
616,26,54,118
617,12,13,69
618,3,8,19
619,2,2,9
620,237,295,853
621,32,35,103
622,5,15,24
623,24,26,149
624,14,23,40
625,3,2,9
626,1,4,24
627,31,35,144
628,2,0,11
629,213,281,1043
630,12,25,65
631,19,39,151
632,14,55,145
634,26,37,132
635,44,91,231
636,9,12,27
637,96,124,368
638,8,7,19
639,19,60,168
640,0,6,33
641,35,31,100
642,59,62,207
643,1,1,17
644,194,230,836
645,6,9,32
646,21,36,103
647,13,33,70
648,70,125,394
649,10,8,60
651,350,449,1671
653,94,213,562
654,10,34,89
655,10,7,68
656,1,1,11
657,10,13,21
658,48,103,294
659,133,231,780
660,1,8,27
661,1,2,2
662,7,13,42
663,10,19,61
664,26,33,75
665,2,6,21
666,5,14,41
667,17,25,84
668,52,76,262
669,21,20,63
670,40,61,210
671,3,4,33
672,5,5,17
674,2,5,17
675,22,24,71
676,2,4,14
677,15,19,68
678,23,63,122
679,28,39,130
680,32,48,186
681,22,66,188
682,1,6,12
683,35,59,137
684,229,372,1307
685,2,6,17
686,11,29,84
687,2,3,3
688,3,3,16
689,5,6,16
690,2,1,14
691,1,5,14
692,88,124,281
693,11,12,22
694,81,111,381
695,82,179,537
696,0,0,1
697,0,1,7
698,25,42,165
699,2,16,48
700,42,96,359
701,3,1,12
702,33,48,230
703,2,5,7
704,90,146,556
705,0,3,4
706,0,2,16
707,4,10,18
708,2,3,17
709,0,0,8
710,16,33,55
711,54,109,379
712,0,1,21
713,72,70,287
714,21,23,89
715,2,2,17
716,25,42,122
717,25,31,95
718,3,15,16
719,22,58,167
720,66,114,394
721,3,10,17
722,79,116,429
724,4,6,28
725,4,3,12
