index,cmun,province,municipality,altitude,longitude,latitude,0-17,18-24,25-34,35-54,55+,male,female,total_population,nearest_airport,closest_distance_airport,nearest_train_station,closest_distance_train,closest_distance_hospital,nearest_hospital,closest_distance_school,nearest_school,koppen_climate,description,number_of_houses,town_size,connectivity_score,connectivity_category,towns_in_vicinity,economy_score,economy_score_area,autonomous_community,hospital_distance_score,school_distance_score,hospital_score_area,school_score_area,train_distance_score,airport_distance_score,transport_score,0-17_pct,18-24_pct,25-34_pct,35-54_pct,55+_pct,age_score,final_age_category,cluster_kmeans,cluster_agg,cluster_dbscan
7554,29028,Málaga,Benaoján,565.6541,-5.25315,36.71874,210,93,156,413,561,733,700,1433,Helipuerto de Algeciras,67.59066208543003,Benaojan-Montejaque,0.8151888753127846,9.50116822174794,Hospital De La Serranía,0.4574027715177015,C.E.I.P. Ntra. Sra. del Rosario,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers.",948.0,Mid,0.6085,Good,"11002, 11003, 11005, 11009, 11011, 11018, 11019, 11021, 11024, 11026, 11029, 11034, 11036, 11038, 11040, 11041, 11042, 29006, 29010, 29013, 29014, 29020, 29021, 29022, 29023, 29024, 29029, 29031, 29035, 29037, 29040, 29041, 29046, 29048, 29051, 29052, 29056, 29057, 29058, 29060, 29061, 29063, 29064, 29065, 29068, 29073, 29074, 29076, 29077, 29081, 29084, 29090, 29100, 41008, 41035, 41076, 41100",3.3000000000000003,12.45060394736842,Andalucía,8,10,4.0,5.0,10,3,6.5,14.654570830425682,6.489881367759945,10.88625261688765,28.82065596650384,39.148639218422886,20.097697138869503,Balanced Town,2,3,-1
1795,17105,Girona,Mieres,275.4319,2.639244,42.127,48,17,39,105,139,176,172,348,Aeropuerto de Girona - Costa Brava,27.14629142787861,Girona,22.025290766061214,15.6102655540032,Hospital D'Olot I Comarcal De La Garrotxa,0.4810386157041531,Escola Finestres,Cfa,Humid Subtropical - Hot summers with year-round precipitation.,135.0,Small,0.6435,Good,"8037, 8083, 8100, 8112, 8117, 8131, 8150, 8183, 8215, 8220, 8233, 8237, 8241, 8243, 8246, 8253, 8265, 8272, 8275, 8280, 8285, 8298, 8303, 8901, 17001, 17002, 17003, 17004, 17005, 17007, 17008, 17009, 17010, 17011, 17012, 17014, 17015, 17016, 17018, 17019, 17020, 17021, 17022, 17025, 17026, 17029, 17030, 17031, 17033, 17035, 17038, 17039, 17040, 17042, 17044, 17046, 17047, 17049, 17050, 17051, 17052, 17055, 17056, 17057, 17058, 17060, 17063, 17065, 17066, 17067, 17068, 17071, 17073, 17074, 17075, 17076, 17079, 17081, 17085, 17086, 17087, 17088, 17089, 17090, 17091, 17093, 17097, 17098, 17100, 17102, 17103, 17106, 17107, 17109, 17111, 17112, 17114, 17115, 17116, 17119, 17123, 17126, 17130, 17132, 17133, 17135, 17136, 17137, 17139, 17142, 17147, 17148, 17149, 17150, 17151, 17153, 17154, 17155, 17157, 17158, 17159, 17161, 17162, 17163, 17164, 17165, 17166, 17167, 17168, 17169, 17170, 17171, 17172, 17173, 17174, 17175, 17176, 17177, 17178, 17180, 17182, 17183, 17184, 17185, 17186, 17187, 17189, 17190, 17191, 17192, 17193, 17194, 17195, 17196, 17198, 17200, 17203, 17204, 17205, 17207, 17208, 17210, 17211, 17212, 17213, 17214, 17215, 17216, 17217, 17218, 17220, 17221, 17222, 17224, 17225, 17226, 17228, 17230, 17232, 17233, 17234, 17901, 17902, 17903",0.0,8.191975407608696,Cataluña,4,10,2.0,5.0,3,6,4.5,13.79310344827586,4.885057471264368,11.20689655172414,30.17241379310345,39.94252873563218,19.540229885057485,Balanced Town,4,1,-1
2487,25167,Lleida,Pinós,798.8068,1.542548,41.82774,47,18,21,84,107,152,125,277,Aeropuerto de Sabadell,57.902457545780415,Seguers-Sant Pere Sallavinera,9.24715846644147,24.037417682734183,Serveis Sanitaris Sant Joan De Vilatorrada,3.2930245459953023,Escola d'Ardèvol - ZER El Solsonès,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,169.0,Small,0.1485,Poor,"8002, 8008, 8010, 8011, 8012, 8018, 8021, 8022, 8025, 8031, 8034, 8036, 8038, 8044, 8045, 8047, 8048, 8049, 8050, 8053, 8059, 8060, 8061, 8062, 8063, 8069, 8071, 8078, 8084, 8090, 8092, 8098, 8102, 8103, 8113, 8122, 8127, 8128, 8130, 8132, 8133, 8139, 8140, 8141, 8143, 8144, 8152, 8161, 8162, 8165, 8170, 8175, 8176, 8178, 8179, 8182, 8185, 8189, 8191, 8192, 8213, 8218, 8226, 8228, 8229, 8242, 8250, 8257, 8262, 8274, 8277, 8286, 8291, 8292, 8297, 8302, 8308, 25003, 25042, 25044, 25055, 25060, 25064, 25072, 25075, 25085, 25103, 25104, 25110, 25111, 25114, 25124, 25129, 25132, 25136, 25141, 25143, 25146, 25148, 25149, 25150, 25151, 25152, 25157, 25163, 25165, 25166, 25172, 25181, 25186, 25191, 25192, 25193, 25194, 25197, 25207, 25216, 25217, 25219, 25222, 25223, 25249, 25905, 25907, 25911, 43046, 43073, 43105, 43139, 43143, 43159",0.0,8.07557251908397,Cataluña,3,10,1.5,5.0,8,3,5.5,16.967509025270758,6.4981949458483745,7.581227436823104,30.324909747292416,38.628158844765345,17.689530685920573,Balanced Town,1,1,-1
4819,19308,Guadalajara,Valfermoso de Tajuña,958.9691,-2.953815,40.61958,6,0,2,20,47,46,29,75,Aeropuerto de Adolfo Suárez Madrid - Barajas,54.59225535732168,Guadalajara-Yebes,14.9044166498061,16.789013783550164,Hospital Universitario De Guadalajara,17.623879449998203,Academia Universo,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters.",215.0,Very Small,0.645,Good,"16011, 16041, 16051, 16188, 19004, 19005, 19006, 19007, 19009, 19015, 19018, 19019, 19020, 19021, 19022, 19023, 19024, 19036, 19039, 19041, 19043, 19045, 19046, 19050, 19051, 19053, 19054, 19055, 19058, 19066, 19073, 19074, 19075, 19082, 19086, 19088, 19091, 19092, 19098, 19105, 19106, 19108, 19110, 19111, 19112, 19113, 19117, 19119, 19120, 19121, 19123, 19124, 19125, 19126, 19130, 19132, 19133, 19138, 19142, 19143, 19150, 19151, 19154, 19155, 19156, 19157, 19159, 19160, 19161, 19166, 19167, 19169, 19171, 19172, 19173, 19174, 19176, 19179, 19184, 19187, 19189, 19192, 19193, 19194, 19196, 19200, 19211, 19212, 19215, 19220, 19224, 19225, 19228, 19230, 19233, 19239, 19242, 19245, 19247, 19249, 19252, 19258, 19260, 19263, 19266, 19274, 19279, 19280, 19286, 19290, 19291, 19296, 19297, 19298, 19299, 19300, 19301, 19302, 19304, 19306, 19318, 19319, 19325, 19326, 19327, 19329, 19330, 19331, 19335, 28005, 28011, 28012, 28032, 28048, 28057, 28083, 28100, 28101, 28111, 28122, 28136, 28137, 28156, 28166, 28172, 28179",0.0,4.714579452054794,Castilla-La Mancha,4,4,2.0,2.0,6,3,4.5,8.0,0.0,2.666666666666667,26.666666666666668,62.66666666666667,-44.666666666666664,Highly Aging Town,0,1,-1
2014,49100,Zamora,Lubián,1034.373,-6.907969,42.03475,24,5,20,56,185,152,138,290,Aeropuerto de León,120.33824208824689,A Gudiña,18.805400047995963,43.072568411892405,Hospital De Valdeorras (*),0.128857454448999,Tuela-Bibey,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers.",934.0,Small,0.15,Poor,"24067, 32017, 32034, 32048, 32071, 32083, 32086, 32091, 32092, 49017, 49050, 49085, 49094, 49110, 49143, 49145, 49154, 49162, 49166, 49174, 49179, 49181, 49189, 49224",0.0,0.4802083333333333,Castilla y León,1,10,0.5,5.0,4,1,2.5,8.275862068965518,1.7241379310344829,6.896551724137931,19.310344827586206,63.793103448275865,-47.06896551724138,Highly Aging Town,5,0,-1
