cmun,municipality,transf_cat__koppen_climate_Bsh,transf_cat__koppen_climate_Cfa,transf_cat__koppen_climate_Cfb,transf_cat__koppen_climate_Csa,transf_cat__koppen_climate_Csb,scaled__connectivity_score,scaled__economy_score,scaled__economy_score_area,scaled__hospital_distance_score,scaled__school_distance_score,scaled__hospital_score_area,scaled__school_score_area,scaled__train_distance_score,scaled__airport_distance_score,scaled__transport_score
0,48067,Muxika,0.0,0.0,1.0,0.0,0.0,0.22483138314309,0.386912143098841,1.1859804488659091,1.0627333049141907,0.7210640040597803,1.0627333049141907,0.7210640040597803,-1.0536488975722926,1.4243220497898172,-0.21332644222690608
1,15064,Paderne,0.0,0.0,0.0,0.0,1.0,0.639889747301294,0.731120745228787,0.865604127231146,0.284169831491416,0.7210640040597803,0.284169831491416,0.7210640040597803,1.8615257035829234,1.4243220497898172,2.1108090072978074
2,15039,Irixoa,0.0,0.0,1.0,0.0,0.0,-0.021609520575843474,-0.3971185617527025,0.2795760475111026,-0.10511190521997137,0.7210640040597803,-0.10511190521997137,0.7210640040597803,0.5658925475139385,1.4243220497898172,1.0778599186201567
3,48062,Mendata,0.0,0.0,1.0,0.0,0.0,0.2994121829527674,-0.3971185617527025,0.9941472408059665,0.284169831491416,0.7210640040597803,0.284169831491416,0.7210640040597803,-1.0536488975722926,1.4243220497898172,-0.21332644222690608
4,48905,Zamudio,0.0,0.0,1.0,0.0,0.0,0.9528048421549401,6.34363322995874,2.815453137491161,2.6198602517597402,0.7210640040597803,2.6198602517597402,0.7210640040597803,-1.0536488975722926,3.771941268199178,0.8196226464507442
5,33038,Morcín,0.0,0.0,0.0,0.0,1.0,-1.099788474346178,0.8171728957612734,0.675515829425044,1.8412967783369654,0.7210640040597803,1.8412967783369654,0.7210640040597803,-0.40583231953780013,0.2505124405851369,-0.21332644222690608
6,33005,Belmonte de Miranda,0.0,0.0,0.0,0.0,1.0,-1.2651632913154627,0.3677894429805107,0.43551875347140434,-0.4943936419313587,0.7210640040597803,-0.4943936419313587,0.7210640040597803,-1.0536488975722926,0.2505124405851369,-0.7298009865657312
7,39067,Ruesga,0.0,0.0,1.0,0.0,0.0,-1.5505159166742282,-0.3971185617527025,-0.35715409869096815,0.284169831491416,-1.242797534151219,0.284169831491416,-1.242797534151219,-1.0536488975722926,1.4243220497898172,-0.21332644222690608
8,31250,Bera,0.0,0.0,1.0,0.0,0.0,0.5588236605516451,2.318304855050204,0.8279001357010343,1.0627333049141907,0.7210640040597803,1.0627333049141907,0.7210640040597803,0.5658925475139385,2.5981316589944976,1.594334462958982
9,33078,Yernes y Tameza,0.0,0.0,0.0,0.0,1.0,-1.636445968628856,-0.3971185617527025,0.3075142107448392,-0.10511190521997137,-0.2608667650457194,-0.10511190521997137,-0.2608667650457194,-1.0536488975722926,0.2505124405851369,-0.7298009865657312
10,39045,Miera,0.0,0.0,1.0,0.0,0.0,-1.6218540730139193,-0.3971185617527025,-0.5619676796927389,-0.10511190521997137,0.7210640040597803,-0.10511190521997137,0.7210640040597803,-1.0536488975722926,1.4243220497898172,-0.21332644222690608
11,39069,San Felices de Buelna,0.0,0.0,1.0,0.0,0.0,1.0565694331944913,1.1135747475953937,-0.1107356752730045,1.8412967783369654,0.7210640040597803,1.8412967783369654,0.7210640040597803,-1.0536488975722926,1.4243220497898172,-0.21332644222690608
12,39007,Arredondo,0.0,0.0,1.0,0.0,0.0,-1.641309933833835,-0.3971185617527025,-0.3513060924227271,-0.10511190521997137,-0.2608667650457194,-0.10511190521997137,-0.2608667650457194,-1.0536488975722926,1.4243220497898172,-0.21332644222690608
13,48087,Trucios-Turtzioz,0.0,0.0,1.0,0.0,0.0,0.7031212949660207,-0.3971185617527025,0.6978668841078975,-0.10511190521997137,0.7210640040597803,-0.10511190521997137,0.7210640040597803,-1.0536488975722926,0.2505124405851369,-0.7298009865657312
14,48081,Lezama,0.0,0.0,1.0,0.0,0.0,0.5490957301416869,0.8458569459387689,1.1988728670069837,1.8412967783369654,0.7210640040597803,1.8412967783369654,0.7210640040597803,-1.0536488975722926,3.771941268199178,0.8196226464507442
15,48060,Markina-Xemein,0.0,0.0,1.0,0.0,0.0,-0.3085834676696018,3.55171901268251,1.874393716810492,1.8412967783369654,0.7210640040597803,1.8412967783369654,0.7210640040597803,-1.0536488975722926,0.2505124405851369,-0.7298009865657312
16,31264,Zugarramurdi,0.0,0.0,1.0,0.0,0.0,-0.49827811066378097,-0.3971185617527025,-0.0765830599051373,-0.10511190521997137,0.7210640040597803,-0.10511190521997137,0.7210640040597803,-0.40583231953780013,1.4243220497898172,0.30314810211191906
17,33001,Allande,0.0,0.0,1.0,0.0,0.0,-1.0543914657663747,0.4155961932763365,-0.16349475998101365,1.0627333049141907,0.7210640040597803,1.0627333049141907,0.7210640040597803,-1.0536488975722926,-0.33639236401720335,-0.9880382587351438
18,31239,Urdazubi/Urdax,0.0,0.0,1.0,0.0,0.0,-0.8873953270620972,-0.3971185617527025,-0.26504050950634944,-0.4943936419313587,0.7210640040597803,-0.4943936419313587,0.7210640040597803,-0.40583231953780013,1.4243220497898172,0.30314810211191906
19,39100,Villafufre,0.0,0.0,1.0,0.0,0.0,1.0565694331944913,-0.3971185617527025,-0.543776757539759,0.284169831491416,-0.2608667650457194,0.284169831491416,-0.2608667650457194,-1.0536488975722926,1.4243220497898172,-0.21332644222690608
20,48037,Galdames,0.0,0.0,1.0,0.0,0.0,0.6220552082163711,-0.3971185617527025,0.6591549755888864,1.8412967783369654,0.7210640040597803,1.8412967783369654,0.7210640040597803,-1.0536488975722926,1.4243220497898172,-0.21332644222690608
21,48007,Munitibar-Arbatzegi Gerrikaitz,0.0,0.0,1.0,0.0,0.0,-0.08159842477058377,-0.3971185617527025,0.9269172697655172,0.284169831491416,0.7210640040597803,0.284169831491416,0.7210640040597803,-1.0536488975722926,1.4243220497898172,-0.21332644222690608
22,33061,San Martín de Oscos,0.0,0.0,1.0,0.0,0.0,-1.0576341092363606,-0.3971185617527025,-0.35140959695844826,-0.883675378642746,0.7210640040597803,-0.883675378642746,0.7210640040597803,-1.0536488975722926,-0.33639236401720335,-0.9880382587351438
23,20901,Mendaro,0.0,0.0,1.0,0.0,0.0,1.0565694331944913,1.1040133975362283,0.8954577926055548,2.6198602517597402,0.7210640040597803,2.6198602517597402,0.7210640040597803,-1.0536488975722926,0.2505124405851369,-0.7298009865657312
24,48086,Sopuerta,0.0,0.0,1.0,0.0,0.0,0.7695954861007329,0.7598047954062824,0.9495845709581396,1.0627333049141907,0.7210640040597803,1.0627333049141907,0.7210640040597803,-1.0536488975722926,1.4243220497898172,-0.21332644222690608
