index,cmun,province,municipality,altitude,longitude,latitude,0-17,18-24,25-34,35-54,55+,male,female,total_population,nearest_airport,closest_distance_airport,nearest_train_station,closest_distance_train,closest_distance_hospital,nearest_hospital,closest_distance_school,nearest_school,koppen_climate,description,number_of_houses,town_size,connectivity_score,connectivity_category,towns_in_vicinity,economy_score,economy_score_area,autonomous_community,hospital_distance_score,school_distance_score,hospital_score_area,school_score_area,train_distance_score,airport_distance_score,transport_score,0-17_pct,18-24_pct,25-34_pct,35-54_pct,55+_pct,age_score,final_age_category,cluster_kmeans,cluster_agg,cluster_dbscan
5297,28174,Madrid,Villamanta,550.4752,-4.110051,40.29961,509,198,318,871,959,1454,1401,2855,Aeropuerto de Madrid - Cuatro vientos,28.716389406355216,Zarzalejo,26.873032625619818,14.712704919861189,Hospital Los Madroños,0.364153207360894,CP INF-PRI San Dámaso,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters.",1204.0,Mid,0.908,Excellent,"5055, 5057, 5102, 5156, 5168, 5184, 5227, 5241, 28004, 28007, 28008, 28015, 28017, 28022, 28026, 28031, 28036, 28037, 28042, 28044, 28047, 28050, 28051, 28054, 28056, 28058, 28061, 28065, 28066, 28072, 28073, 28074, 28079, 28080, 28089, 28092, 28095, 28096, 28099, 28106, 28109, 28113, 28115, 28119, 28125, 28127, 28128, 28131, 28133, 28135, 28140, 28141, 28149, 28150, 28152, 28159, 28160, 28161, 28171, 28175, 28176, 28177, 28178, 28181, 28183, 45004, 45008, 45013, 45015, 45018, 45025, 45031, 45032, 45038, 45041, 45047, 45051, 45056, 45061, 45064, 45066, 45076, 45077, 45081, 45085, 45091, 45099, 45117, 45118, 45119, 45127, 45128, 45129, 45134, 45143, 45145, 45147, 45157, 45171, 45173, 45176, 45180, 45183, 45188, 45189, 45199, 45201, 45203, 45204, 45205, 45901",7.85,39.75532072072072,Comunidad de Madrid,6,10,3.0,5.0,2,6,4.0,17.828371278458842,6.935201401050787,11.138353765323991,30.50788091068301,33.590192644483366,33.50262697022766,Young & Growing,3,4,-1
1584,22127,Huesca,Igriés,602.9488,-0.4315612,42.21444,155,67,68,236,213,382,357,739,Aeropuerto de Huesca Pirineos,17.973151233556322,Huesca,9.185210438401198,8.205858822726984,Hospital Viamed Santiago,5.594350794446086,DE NUENO,Cfa,Humid Subtropical - Hot summers with year-round precipitation.,255.0,Mid,0.4864999999999999,Moderate,"22001, 22003, 22004, 22011, 22012, 22013, 22014, 22015, 22019, 22021, 22023, 22024, 22027, 22029, 22036, 22037, 22039, 22041, 22042, 22047, 22049, 22050, 22058, 22063, 22064, 22072, 22081, 22096, 22116, 22119, 22124, 22125, 22126, 22135, 22141, 22149, 22150, 22151, 22156, 22162, 22163, 22173, 22176, 22178, 22181, 22182, 22184, 22195, 22197, 22199, 22203, 22206, 22209, 22218, 22220, 22222, 22226, 22228, 22232, 22235, 22236, 22239, 22248, 22252, 22904, 22905, 22906, 50033, 50185, 50207, 50220, 50238, 50276, 50902",0.0,2.7493243243243244,Aragón,8,8,4.0,4.0,8,6,7.0,20.97428958051421,9.066305818673884,9.201623815967524,31.935047361299052,28.822733423545333,42.62516914749661,Young & Growing,2,5,-1
1333,17188,Girona,"Selva de Mar, La",53.85229,3.18767,42.32463,25,8,25,61,101,111,109,220,Aeropuerto de Girona - Costa Brava,58.68470940783215,Llança,5.647222140970845,19.888764056529837,Clínica Santa Creu,2.337808386150646,Escola Les Clisques - ZER Cap de Creus,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters.",273.0,Small,0.64,Good,"17001, 17003, 17004, 17005, 17011, 17012, 17014, 17016, 17018, 17025, 17026, 17029, 17030, 17031, 17041, 17042, 17047, 17050, 17051, 17052, 17054, 17055, 17058, 17060, 17062, 17064, 17065, 17066, 17067, 17068, 17070, 17071, 17074, 17075, 17076, 17077, 17081, 17085, 17086, 17088, 17092, 17093, 17098, 17100, 17102, 17106, 17111, 17115, 17119, 17120, 17121, 17124, 17126, 17128, 17129, 17130, 17132, 17135, 17136, 17138, 17140, 17143, 17151, 17152, 17153, 17158, 17166, 17168, 17171, 17173, 17175, 17176, 17178, 17182, 17187, 17191, 17195, 17196, 17198, 17199, 17203, 17204, 17205, 17210, 17211, 17214, 17216, 17217, 17218, 17221, 17222, 17223, 17225, 17226, 17227, 17228, 17230, 17232, 17234",0.0,4.134343434343435,Cataluña,4,10,2.0,5.0,8,3,5.5,11.363636363636363,3.636363636363636,11.363636363636363,27.727272727272727,45.909090909090914,4.772727272727266,Aging Town,1,1,-1
4830,19027,Guadalajara,Alustante,1398.75,-1.660092,40.61554,10,9,9,36,87,89,62,151,Aeropuerto de Zaragoza,127.52546261973816,Villafranca Del Campo,26.66780072887989,56.406599135587655,Hospital Obispo Polanco,19.10491279670944,DE OJOS NEGROS,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,453.0,Small,0.64,Good,"16035, 16079, 16107, 16116, 16123, 16165, 16197, 16215, 16234, 16239, 19003, 19013, 19034, 19048, 19059, 19076, 19079, 19099, 19103, 19104, 19109, 19118, 19134, 19139, 19178, 19190, 19195, 19204, 19213, 19214, 19216, 19219, 19221, 19222, 19223, 19227, 19237, 19243, 19255, 19264, 19267, 19268, 19271, 19272, 19277, 19284, 19289, 19309, 19332, 44003, 44007, 44009, 44018, 44039, 44042, 44045, 44046, 44052, 44056, 44076, 44109, 44112, 44117, 44119, 44120, 44153, 44157, 44159, 44163, 44168, 44169, 44174, 44180, 44189, 44190, 44197, 44198, 44204, 44209, 44213, 44215, 44220, 44226, 44228, 44229, 44232, 44235, 44251, 44257, 44258, 44261, 50091",0.0,0.1858695652173912,Castilla-La Mancha,1,4,0.5,2.0,2,1,1.5,6.622516556291391,5.960264900662252,5.960264900662252,23.841059602649008,57.615894039735096,-29.470198675496675,Highly Aging Town,0,2,-1
3467,8206,Barcelona,Sant Cugat Sesgarrigues,269.0334,1.753613,41.36441,206,80,94,307,341,515,513,1028,Aeropuerto de Barcelona - El prat,28.756380807256193,Roda De Mar,31.85052866305081,4.213370624769707,Hospital Comarcal De L'Alt Penedès.,0.2066801673801526,Escola Les Vinyes,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters.",403.0,Mid,0.985,Excellent,"8001, 8008, 8013, 8019, 8020, 8021, 8025, 8027, 8028, 8043, 8044, 8048, 8051, 8053, 8054, 8056, 8058, 8059, 8061, 8063, 8065, 8066, 8068, 8069, 8071, 8072, 8073, 8074, 8076, 8077, 8085, 8089, 8091, 8094, 8098, 8101, 8102, 8103, 8104, 8114, 8119, 8120, 8122, 8123, 8125, 8127, 8143, 8145, 8146, 8147, 8148, 8152, 8154, 8157, 8158, 8161, 8162, 8164, 8165, 8167, 8168, 8169, 8174, 8179, 8180, 8182, 8184, 8185, 8187, 8194, 8196, 8200, 8204, 8205, 8208, 8211, 8217, 8221, 8222, 8226, 8227, 8231, 8232, 8236, 8238, 8240, 8242, 8244, 8245, 8249, 8250, 8251, 8252, 8257, 8262, 8263, 8266, 8270, 8273, 8279, 8286, 8287, 8288, 8289, 8290, 8291, 8292, 8295, 8297, 8300, 8301, 8302, 8304, 8305, 8307, 8904, 8905, 43001, 43002, 43010, 43016, 43020, 43024, 43028, 43030, 43034, 43037, 43050, 43051, 43074, 43079, 43089, 43090, 43097, 43105, 43108, 43111, 43119, 43120, 43126, 43132, 43135, 43137, 43139, 43140, 43141, 43153, 43163, 43164, 43165, 43170",4.4,39.49790182119205,Cataluña,10,10,5.0,5.0,1,6,3.5,20.038910505836576,7.782101167315175,9.14396887159533,29.863813229571985,33.17120622568093,31.128404669260696,Young & Growing,3,4,-1
