cmun,municipality,province,autonomous_community,altitude,longitude,latitude,towns_in_vicinity,total_population,nearest_airport,closest_distance_airport,nearest_train_station,closest_distance_train,closest_distance_hospital,nearest_hospital,closest_distance_school,nearest_school,koppen_climate,description,number_of_houses,count_of_stations,suburban_train,0-17,18-24,25-34,35-54,55+,male,female,0-17_pct,18-24_pct,25-34_pct,35-54_pct,55+_pct,score_connectivity,score_economy,score_area_economy,score_hospital_distance,score_area_hospital,score_school_distance,score_area_school,score_transport,score_age,category_connectivity,category_town_size,category_economy,cagetory_town_age,category_transport,PC1,PC2,PC3,PC4,cluster,enc_scaled__score_age,enc_scaled__score_transport,enc_scaled__score_area_school,enc_scaled__score_school_distance,enc_scaled__score_area_hospital,enc_scaled__score_hospital_distance,enc_scaled__score_area_economy,enc_scaled__score_economy,enc_scaled__score_connectivity,enc_scaled__female,enc_scaled__count_of_stations,enc_scaled__number_of_houses,enc_scaled__total_population,enc_scaled__latitude,enc_scaled__longitude
16046,Cañada del Hoyo,Cuenca,Castilla La Mancha,1021.962,-1.899039,39.96969,"(16004, 16008, 16013, 16017, 16019, 16023, 16024, 16029, 16030, 16031, 16036, 16040, 16043, 16044, 16052, 16055, 16056, 16074, 16078, 16081, 16083, 16088, 16089, 16092, 16097, 16104, 16107, 16109, 16111, 16115, 16121, 16122, 16131, 16132, 16141, 16146, 16147, 16149, 16150, 16152, 16161, 16163, 16177, 16187, 16189, 16192, 16199, 16205, 16219, 16224, 16225, 16227, 16236, 16245, 16258, 16263, 16273, 16274, 16276, 16278, 16280, 16902, 16903, 16904, 16909)",228,Aeropuerto de Albacete,0.7244715114527858,Cañada Del Hoyo,0.0195681960476544,24.306535851357243,Hospital Virgen De La Luz,7.596928982601751, ,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters.",333.0,0.1818181818181818,0.0,16,10,22,43,137,123,105,7.017543859649122,4.385964912280701,9.649122807017545,18.859649122807017,60.08771929824561,0.61,0.0,0.0,3,1.5,8,4.0,1.7313555325717296,-34.649122807017534,Good,Small,Very Low,Highly Aging Town,Poor,-0.8651909773877614,-0.3612381745005732,0.2392632949406352,1.5461373001681875,1,-0.9096026059145952,0.0655738263013515,-0.2653217020229599,-0.2653217020229599,-0.1182872569147437,-0.1182872569147437,-0.4002962046341264,-0.4002962046341266,-0.1349244126327382,-0.5496591741419625,3.4583744250607578,-0.4368261212595893,-0.5508039450238693,-0.6343245887375706,0.4502814726062045
5131,Mirueña de los Infanzones,Ávila,Castilla León,1132.032,-5.090713,40.73749,"(5005, 5010, 5012, 5015, 5017, 5019, 5023, 5025, 5026, 5027, 5029, 5033, 5036, 5038, 5039, 5040, 5042, 5043, 5044, 5045, 5046, 5048, 5049, 5052, 5053, 5058, 5059, 5060, 5061, 5062, 5063, 5064, 5065, 5067, 5069, 5073, 5074, 5076, 5077, 5078, 5079, 5080, 5081, 5083, 5086, 5087, 5088, 5092, 5094, 5096, 5099, 5101, 5106, 5107, 5109, 5114, 5116, 5117, 5118, 5120, 5121, 5122, 5125, 5126, 5128, 5129, 5130, 5133, 5135, 5136, 5138, 5139, 5140, 5141, 5142, 5143, 5144, 5145, 5147, 5148, 5149, 5151, 5152, 5154, 5155, 5157, 5160, 5164, 5166, 5172, 5175, 5176, 5179, 5180, 5181, 5183, 5185, 5186, 5188, 5190, 5191, 5193, 5194, 5195, 5196, 5197, 5198, 5200, 5205, 5206, 5209, 5210, 5212, 5213, 5215, 5217, 5218, 5219, 5220, 5224, 5225, 5229, 5230, 5231, 5232, 5234, 5237, 5238, 5239, 5242, 5246, 5247, 5251, 5252, 5253, 5256, 5257, 5258, 5259, 5260, 5263, 5264, 5265, 5266, 5903, 37007, 37008, 37012, 37021, 37022, 37029, 37035, 37038, 37057, 37077, 37083, 37108, 37110, 37114, 37118, 37121, 37122, 37141, 37143, 37144, 37146, 37148, 37162, 37169, 37174, 37178, 37179, 37206, 37215, 37216, 37228, 37232, 37235, 37236, 37246, 37247, 37256, 37265, 37276, 37296, 37322, 37324, 37330, 37348, 37352, 37358, 37374, 37375, 37382)",95,Aeropuerto de Salamanca ,0.2638736633235826,Narros Del Castillo,0.1501590159221879,35.03071052301749,Hospital Provincial De Ávila,10.328522406002492,Cra La Sierra,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers.",233.0,0.0,0.0,0,3,5,29,58,51,44,0.0,3.1578947368421053,5.263157894736842,30.526315789473685,61.05263157894737,0.5355,0.0,0.0,1,0.5,6,3.0,0.9631660013803796,-32.10526315789474,Moderate,Very Small,Very Low,Highly Aging Town,Poor,-2.250661197367725,-1.2356238183142547,-0.4450876404805538,-0.7458456038901852,2,-0.8285486729822015,-0.6814560014462308,-1.2503898710135353,-1.2503898710135353,-0.8925723803547546,-0.8925723803547546,-0.4002962046341264,-0.4002962046341266,-0.3775171737816983,-0.6460194072836015,-0.3218509596284319,-0.5568130575660124,-0.6554710028158728,-0.149912041767352,-0.785802719443595
29096,Villanueva del Rosario,Málaga,Andalucía,694.9512,-4.364309,36.99622,"(14010, 14024, 14037, 14048, 14058, 18013, 18100, 18122, 18171, 18174, 18188, 18192, 18913, 29001, 29002, 29003, 29004, 29005, 29009, 29011, 29012, 29015, 29016, 29017, 29019, 29026, 29027, 29030, 29033, 29034, 29038, 29039, 29043, 29044, 29045, 29047, 29049, 29050, 29055, 29059, 29062, 29066, 29067, 29071, 29072, 29079, 29080, 29082, 29083, 29085, 29086, 29087, 29092, 29093, 29094, 29095, 29097, 29098, 29099)",3398,Aeropuerto de Málaga - Costa del Sol,0.233794442352961,Antequera,0.1825915770428416,15.085113314122578,Hospital De Antequera,0.2950430022569754,C.E.I.P. Velasco y Merino,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters.",1827.0,0.0,0.0,521,218,356,956,1347,1659,1739,15.33254855797528,6.4155385520894646,10.476751030017658,28.13419658622719,39.640965273690405,0.9405,0.0,0.0,4,2.0,10,5.0,1.0618274377163912,17.775161859917603,Excellent,Big,Very Low,Balanced Town,Poor,2.6958244056871177,-0.0867052542864734,0.853339075245601,-2.3667021766326855,1,0.7607703861204577,-0.5855121844599238,0.7197464669676154,0.7197464669676154,0.2688553048052616,0.2688553048052616,-0.4002962046341264,-0.4002962046341266,0.9412756888401654,2.0315313332914497,-0.3218509596284319,1.3557787071583716,1.943892094078768,-2.51031596154238,-0.5044780912260071
5108,Junciana,Ávila,Castilla León,996.5219,-5.557674,40.41014,"(5007, 5015, 5018, 5021, 5024, 5025, 5037, 5038, 5047, 5051, 5052, 5063, 5081, 5084, 5085, 5097, 5103, 5104, 5105, 5112, 5113, 5116, 5122, 5124, 5126, 5129, 5144, 5151, 5153, 5155, 5159, 5162, 5165, 5170, 5171, 5181, 5186, 5192, 5199, 5200, 5214, 5215, 5217, 5218, 5225, 5226, 5228, 5236, 5244, 5246, 5249, 5257, 5260, 5261, 5266, 5267, 5901, 5903, 5904, 10001, 10014, 10015, 10024, 10035, 10068, 10078, 10079, 10080, 10091, 10096, 10105, 10107, 10110, 10111, 10130, 10157, 10174, 10179, 10183, 10204, 10206, 10212, 37013, 37024, 37029, 37035, 37046, 37047, 37051, 37060, 37063, 37071, 37078, 37080, 37089, 37102, 37103, 37109, 37112, 37114, 37118, 37124, 37131, 37133, 37134, 37138, 37139, 37143, 37144, 37146, 37147, 37155, 37156, 37159, 37161, 37162, 37163, 37168, 37169, 37171, 37172, 37188, 37189, 37193, 37195, 37197, 37200, 37201, 37212, 37213, 37217, 37218, 37237, 37242, 37244, 37251, 37252, 37255, 37259, 37261, 37263, 37277, 37282, 37284, 37287, 37297, 37298, 37300, 37309, 37310, 37312, 37315, 37319, 37325, 37331, 37332, 37333, 37334, 37339, 37341, 37343)",40,Aeropuerto de Salamanca ,0.3812184674424232,Navalmoral De La Mata,0.5855861622349134,57.97202241203084,Hospital Campo Arañuelo,6.607061676080874,Aravalle,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers.",177.0,0.0,0.0,4,1,0,12,23,22,18,10.0,2.5,0.0,30.0,57.49999999999999,0.15,0.0,0.0,1,0.5,8,4.0,3.052725996488829,-33.749999999999986,Poor,Very Small,Very Low,Highly Aging Town,Average,-2.221054357815272,-1.1705652519722578,0.8714917236307864,0.4557082299738602,1,-0.8809542330678006,1.350547273570127,-0.2653217020229599,-0.2653217020229599,-0.8925723803547546,-0.8925723803547546,-0.4002962046341264,-0.4002962046341266,-1.6328126022773242,-0.6870909820652837,-0.3218509596284319,-0.6240057418976093,-0.6987543725794831,-0.356440365876107,-0.966649231463233
6072,Lobón,Badajoz,Extremadura,242.9643,-6.625467,38.84752,"(6002, 6004, 6005, 6009, 6010, 6011, 6012, 6015, 6025, 6032, 6038, 6040, 6043, 6045, 6046, 6049, 6054, 6058, 6083, 6084, 6088, 6089, 6090, 6092, 6099, 6103, 6107, 6115, 6117, 6119, 6121, 6126, 6128, 6131, 6132, 6133, 6135, 6143, 6145, 6151, 6152, 6155, 6901, 6902)",2732,Aeropuerto de Badajoz,0.1057781300040174,Montijo-El Molino,0.0755786196048273,23.83742835428161,Hospital De Mérida,0.6818786876874606,C.E.I.P. Ntra. Sra. Asunción,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters.",1410.0,0.0,0.0,511,159,272,831,959,1404,1328,18.70424597364568,5.8199121522694,9.956076134699854,30.41727672035139,35.10248901903367,0.615,3.6,0.056782334384858,3,1.5,10,5.0,0.402716414690502,28.05636896046852,Good,Medium,Very Low,Balanced Town,Poor,2.141193717716981,-0.3777608727461982,1.1114872531354136,-1.6970174371964937,1,1.08835617532839,-1.226468060588514,0.7197464669676154,0.7197464669676154,-0.1182872569147437,-0.1182872569147437,0.3078439914163673,0.3078439914163677,-0.1186430192670361,1.3822845165502426,-0.3218509596284319,0.8554331827605874,1.4197698347594128,-1.342312642701582,-1.3801883484537003
