cmun,municipality,province,autonomous_community,altitude,longitude,latitude,towns_in_vicinity,total_population,nearest_airport,closest_distance_airport,nearest_train_station,closest_distance_train,closest_distance_hospital,nearest_hospital,closest_distance_school,nearest_school,koppen_climate,description,number_of_houses,count_of_stations,suburban_train,0-17,18-24,25-34,35-54,55+,male,female,0-17_pct,18-24_pct,25-34_pct,35-54_pct,55+_pct,score_connectivity,score_economy,score_area_economy,score_hospital_distance,score_area_hospital,score_school_distance,score_area_school,score_transport,score_age,category_connectivity,category_town_size,category_economy,cagetory_town_age,category_transport,PC1,PC2,PC3,PC4,cluster,enc_scaled__score_age,enc_scaled__score_transport,enc_scaled__score_area_school,enc_scaled__score_school_distance,enc_scaled__score_area_hospital,enc_scaled__score_hospital_distance,enc_scaled__score_area_economy,enc_scaled__score_economy,enc_scaled__score_connectivity,enc_scaled__female,enc_scaled__count_of_stations,enc_scaled__number_of_houses,enc_scaled__total_population,enc_scaled__latitude,enc_scaled__longitude
22024,Alquézar,Huesca,Aragón,629.8254,0.0240388,42.17119,"(22001, 22002, 22003, 22011, 22012, 22013, 22015, 22020, 22022, 22027, 22029, 22036, 22040, 22041, 22042, 22047, 22048, 22050, 22051, 22053, 22055, 22058, 22064, 22066, 22080, 22081, 22082, 22088, 22090, 22096, 22102, 22103, 22109, 22110, 22111, 22113, 22115, 22117, 22124, 22125, 22126, 22127, 22128, 22133, 22135, 22139, 22141, 22144, 22150, 22156, 22158, 22160, 22162, 22163, 22164, 22168, 22174, 22175, 22176, 22177, 22178, 22181, 22186, 22187, 22190, 22193, 22195, 22201, 22202, 22203, 22205, 22212, 22214, 22220, 22222, 22228, 22235, 22239, 22903, 22906, 22907, 22908)",338,Aeropuerto de Huesca Pirineos,0.1867670926098507,Monzon-Rio Cinca,0.327082778020945,16.933456115591888,Hospital De Barbastro,0.2222849927050337,ESCUELA DE MONTA�A DE ALQU�ZAR,Cfa,Humid Subtropical - Hot summers with year-round precipitation.,353.0,0.0,0.0,39,17,19,108,155,173,165,11.538461538461538,5.029585798816568,5.621301775147929,31.952662721893493,45.857988165680474,0.8305,0.0,0.0,4,2.0,10,5.0,1.6290427688934106,1.1834319526627295,Excellent,Small,Very Low,Aging Town,Poor,-0.222311988541995,1.7152270147757918,0.1015283012261686,0.2698841029470984,1,0.2321150557846159,-0.0339207425825291,0.7197464669676154,0.7197464669676154,0.2688553048052616,0.2688553048052616,-0.4002962046341264,-0.4002962046341266,0.5830850347947211,-0.4548786169534651,-0.3218509596284319,-0.4128287339983046,-0.4642372054966485,0.7546233432172821,1.195058686275867
29049,Cuevas de San Marcos,Málaga,Andalucía,407.2341,-4.414079,37.26963,"(14002, 14004, 14007, 14010, 14013, 14015, 14022, 14024, 14031, 14037, 14038, 14039, 14044, 14045, 14046, 14048, 14055, 14056, 14058, 14075, 18012, 18100, 18122, 18135, 18171, 18188, 18913, 29001, 29003, 29004, 29015, 29017, 29047, 29055, 29059, 29072, 29095, 29096, 29097, 29098, 41014, 41026, 41050, 41054, 41082)",3627,Aeropuerto de Granada - Jaén F.G.L.,0.3613391910327777,Loja-San Francisco,0.2631237216841353,22.47149600555276,Hospital Infanta Margarita,0.3631081309380797,C.E.I.P. Ciudad de Belda,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters.",2006.0,0.0,0.0,595,261,421,917,1433,1820,1807,16.404742211193824,7.196029776674938,11.607389026743864,25.28260270195754,39.50923628342984,0.9525,7.800000000000001,0.1230283911671924,3,1.5,10,5.0,1.6036428555464044,17.27322856355113,Excellent,Big,Very Low,Balanced Town,Poor,3.761390863185763,-1.3289767981543346,0.945153021540216,-2.091393657319742,0,0.7447774960432663,-0.0586210178687477,0.7197464669676154,0.7197464669676154,-0.1182872569147437,-0.1182872569147437,1.1340075534752776,1.134007553475278,0.9803510329178504,2.13894929810508,-0.3218509596284319,1.570555323146869,2.1241083063672552,-2.3378189122233826,-0.5237532146372069
44215,Terriente,Teruel,Aragón,1435.32,-1.504428,40.29725,"(16008, 16013, 16031, 16036, 16043, 16044, 16052, 16062, 16074, 16107, 16109, 16111, 16115, 16187, 16189, 16205, 16215, 16224, 16225, 16227, 16239, 16278, 19027, 19204, 44007, 44009, 44018, 44019, 44041, 44045, 44052, 44064, 44075, 44076, 44089, 44092, 44109, 44117, 44119, 44120, 44127, 44135, 44157, 44159, 44163, 44174, 44180, 44189, 44196, 44197, 44198, 44199, 44204, 44209, 44216, 44217, 44218, 44226, 44228, 44229, 44234, 44235, 44239, 44243, 44249, 44250, 44257, 44261, 44263, 44264, 46001, 46087, 46088, 46092, 46242, 46252)",208,Aeropuerto de Valencia,0.8016631163970634,Cella,0.2882606327904535,33.995548607603475,Hospital Obispo Polanco,13.90674376299796,C.R.A. De Albarrac�n,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers.",316.0,0.0,0.0,22,7,24,46,109,123,85,10.576923076923077,3.3653846153846154,11.538461538461538,22.115384615384613,52.40384615384615,0.4285,0.0,0.0,1,0.5,6,3.0,2.360624202392965,-13.70192307692308,Moderate,Small,Very Low,Highly Aging Town,Average,-2.029021692609743,-1.1843292093829496,-0.9185029403323904,-0.268320864050583,2,-0.2421707675936374,0.677509353845548,-1.2503898710135353,-1.2503898710135353,-0.8925723803547546,-0.8925723803547546,-0.4002962046341264,-0.4002962046341266,-0.7259389918077216,-0.581252693204795,-0.3218509596284319,-0.4572239004316812,-0.5665433522106368,-0.4276637735701262,0.6031079890702805
49061,Entrala,Zamora,Castilla León,705.7349,-5.754858,41.43003,"(37017, 37019, 37030, 37034, 37073, 37130, 37222, 37226, 37229, 37292, 37299, 37318, 37323, 37327, 37335, 37338, 37379, 47150, 47204, 49002, 49005, 49006, 49007, 49008, 49009, 49010, 49012, 49013, 49014, 49016, 49022, 49023, 49024, 49030, 49031, 49036, 49037, 49038, 49039, 49042, 49044, 49047, 49053, 49056, 49058, 49059, 49076, 49077, 49080, 49081, 49083, 49084, 49086, 49088, 49090, 49093, 49095, 49096, 49098, 49099, 49101, 49102, 49103, 49107, 49108, 49111, 49114, 49115, 49119, 49122, 49123, 49124, 49125, 49126, 49127, 49129, 49131, 49132, 49135, 49136, 49138, 49141, 49142, 49146, 49147, 49148, 49149, 49151, 49152, 49153, 49155, 49156, 49157, 49158, 49160, 49163, 49186, 49191, 49194, 49197, 49202, 49210, 49219, 49221, 49222, 49226, 49227, 49228, 49234, 49237, 49239, 49240, 49245, 49246, 49247, 49251, 49255, 49258, 49261, 49264, 49265, 49267, 49269, 49270, 49275)",128,Aeropuerto de Salamanca ,0.3621823953053229,Zamora,0.0983112196578717,9.350313354983609,Hospital Provincial De Zamora,2.467394060823109,Colegio Público De Morales Del Vino,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters.",162.0,0.0,0.0,6,3,13,28,78,73,55,4.6875,2.34375,10.15625,21.875,60.9375,0.5105,0.0,0.0,8,4.0,10,5.0,0.8791585241441857,-33.59375,Moderate,Small,Very Low,Highly Aging Town,Poor,-0.2506782621131797,2.2481326390739365,0.0479318793668447,0.6261646209798287,3,-0.8759757048596691,-0.7631495011635951,0.7197464669676154,0.7197464669676154,1.817425551685283,1.817425551685283,-0.4002962046341264,-0.4002962046341266,-0.4589241406102086,-0.6286429717990437,-0.3218509596284319,-0.6420037823435728,-0.6295009809577065,0.2870182334068537,-1.0430154346923686
16097,Henarejos,Cuenca,Castilla La Mancha,1078.359,-1.485746,39.86519,"(16008, 16013, 16014, 16017, 16024, 16036, 16042, 16043, 16044, 16046, 16052, 16055, 16056, 16062, 16074, 16082, 16088, 16093, 16095, 16109, 16111, 16115, 16117, 16125, 16126, 16131, 16137, 16146, 16147, 16150, 16157, 16174, 16177, 16187, 16189, 16192, 16194, 16202, 16205, 16225, 16227, 16258, 16274, 16276, 16278, 44019, 44092, 44135, 44218, 44250, 46001, 46041, 46050, 46080, 46087, 46088, 46092, 46095, 46129, 46201, 46232, 46241, 46242, 46247, 46252, 46259)",131,Aeropuerto de Valencia,0.6108842528459815,Villora,0.1733477400902926,53.90350299605573,Hospital General De Requena,10.94540705207823, ,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters.",348.0,0.0,0.0,3,3,3,32,90,65,66,2.2900763358778624,2.2900763358778624,2.2900763358778624,24.427480916030532,68.70229007633588,0.645,0.0,0.0,1,0.5,6,3.0,1.5746060763776268,-58.39694656488551,Good,Small,Very Low,Highly Aging Town,Poor,-2.2483813906797603,-1.2475230365664205,-0.735170372122866,-0.7810836770736846,2,-1.6662695528604663,-0.0868579818731339,-1.2503898710135353,-1.2503898710135353,-0.8925723803547546,-0.8925723803547546,-0.4002962046341264,-0.4002962046341266,-0.0209546590728239,-0.6112665363144858,-0.3218509596284319,-0.4188280808136258,-0.6271400698796914,-0.7002546631819422,0.6103432282820154
