cmun,municipality,province,autonomous_community,altitude,longitude,latitude,towns_in_vicinity,total_population,nearest_airport,closest_distance_airport,nearest_train_station,closest_distance_train,closest_distance_hospital,nearest_hospital,closest_distance_school,nearest_school,koppen_climate,description,number_of_houses,count_of_stations,suburban_train,0-17,18-24,25-34,35-54,55+,male,female,0-17_pct,18-24_pct,25-34_pct,35-54_pct,55+_pct,score_connectivity,score_economy,score_area_economy,score_hospital_distance,score_area_hospital,score_school_distance,score_area_school,score_transport,score_age,category_connectivity,category_town_size,category_economy,cagetory_town_age,category_transport,PC1,PC2,PC3,PC4,cluster,enc_scaled__score_age,enc_scaled__score_transport,enc_scaled__score_area_school,enc_scaled__score_school_distance,enc_scaled__score_area_hospital,enc_scaled__score_hospital_distance,enc_scaled__score_area_economy,enc_scaled__score_economy,enc_scaled__score_connectivity,enc_scaled__female,enc_scaled__count_of_stations,enc_scaled__number_of_houses,enc_scaled__total_population,enc_scaled__latitude,enc_scaled__longitude
16004,Albaladejo del Cuende,Cuenca,Castilla La Mancha,873.7691,-2.227721,39.8069,"(16001, 16003, 16007, 16012, 16015, 16017, 16019, 16023, 16024, 16026, 16029, 16034, 16039, 16046, 16047, 16049, 16055, 16058, 16072, 16073, 16078, 16081, 16083, 16087, 16089, 16092, 16099, 16102, 16104, 16110, 16129, 16130, 16131, 16132, 16134, 16139, 16141, 16142, 16148, 16149, 16150, 16152, 16159, 16161, 16177, 16191, 16195, 16199, 16204, 16211, 16213, 16231, 16236, 16237, 16247, 16253, 16255, 16263, 16265, 16266, 16269, 16273, 16277, 16902, 16903, 16904)",217,Aeropuerto de Albacete,0.6399667180309592,Cuenca Fernando Zobel,0.2694784796366959,30.649363836885072,Hospital Virgen De La Luz,10.27436854465448,Colégio Público C.R.A Ribera del Júcar,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters.",315.0,0.0,0.0,7,7,12,37,154,120,97,3.225806451612903,3.225806451612903,5.529953917050691,17.050691244239633,70.96774193548387,0.65,0.0,0.0,1,0.5,6,3.0,2.040586808338718,-64.97695852534562,Good,Small,Very Low,Highly Aging Town,Average,-2.2860273116051664,-1.4892938975753336,-0.5552478692480162,-0.6153644232675631,2,-1.8759257138524432,0.3662873576509956,-1.2503898710135353,-1.2503898710135353,-0.8925723803547546,-0.8925723803547546,-0.4002962046341264,-0.4002962046341266,-0.0046732657071219,-0.5622965817670955,-0.3218509596284319,-0.4584237697947454,-0.5594606189765914,-0.7370303956160315,0.3229882012973828
46087,Casas Altas,Valencia,Valencia,728.7411,-1.263725,40.03962,"(16008, 16013, 16014, 16036, 16043, 16044, 16052, 16062, 16088, 16093, 16095, 16097, 16109, 16111, 16115, 16117, 16126, 16137, 16187, 16189, 16192, 16194, 16202, 16205, 16258, 16278, 44002, 44019, 44026, 44041, 44054, 44064, 44089, 44092, 44127, 44135, 44143, 44192, 44196, 44199, 44204, 44210, 44215, 44216, 44217, 44218, 44231, 44234, 44239, 44243, 44249, 44250, 44263, 44264, 46001, 46036, 46041, 46050, 46088, 46092, 46106, 46201, 46232, 46241, 46242, 46247, 46252)",139,Aeropuerto de Valencia,0.5779389173019465,Puebla De Valverde,0.3410336792495533,35.206227509124815,Hospital Obispo Polanco,1.777248430077681,Comarcal Del Rincón De Ademuz,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures.",305.0,0.0,0.0,17,11,8,36,67,73,66,12.23021582733813,7.913669064748201,5.755395683453238,25.899280575539567,48.201438848920866,0.15,0.0,0.0,1,0.5,10,5.0,2.264624429327137,-7.913669064748191,Poor,Small,Very Low,Highly Aging Town,Average,-1.3963201734107995,0.2458618805736868,1.1488154231727206,0.0544572690389294,1,-0.0577420579907846,0.5841538848821093,0.7197464669676154,0.7197464669676154,-0.8925723803547546,-0.8925723803547546,-0.4002962046341264,-0.4002962046341266,-1.6328126022773242,-0.6112665363144858,-0.3218509596284319,-0.4704224634253877,-0.6208443070049844,-0.5902050661931227,0.6963284035859745
13015,Almodóvar del Campo,Ciudad Real,Castilla La Mancha,673.6144,-4.17864,38.70892,"(13001, 13007, 13009, 13020, 13022, 13024, 13025, 13026, 13027, 13029, 13030, 13034, 13035, 13042, 13045, 13048, 13051, 13055, 13056, 13062, 13063, 13064, 13066, 13067, 13071, 13080, 13088, 13091, 13094, 13095)",5698,Aeropuerto de Córdoba,0.7188688051868317,Puertollano,0.0627055460854333,5.894482449750375,Hospital Santa Bárbara,29.917496880689008,Colegio Maestro Navas,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters.",4697.0,0.1818181818181818,0.0,667,349,531,1402,2749,2869,2829,11.705861705861706,6.124956124956125,9.31905931905932,24.605124605124608,48.24499824499824,0.8125,17.65,0.2783911671924289,8,4.0,2,1.0,1.9130795301348704,-4.843804843804833,Excellent,Big,Medium-Low,Highly Aging Town,Poor,6.870797577395703,-5.657571735870562,-4.17091621527805,1.165615640307725,0,0.0400717379714655,0.2422922546124763,-3.2205262089946856,-3.2205262089946856,1.817425551685283,1.817425551685283,3.0715578121134346,3.0715578121134355,0.5244720186781937,3.7533781222158185,3.4583744250607578,4.799403779152715,3.753923920557022,-1.4297567414383283,-0.4325714629633163
40193,Sebúlcor,Segovia,Castilla León,938.8392,-3.884605,41.27094,"(9003, 9065, 9136, 9138, 9139, 9140, 9155, 9160, 9218, 9228, 9229, 9253, 9365, 9387, 9405, 28001, 28003, 28024, 28027, 28063, 28064, 28071, 28076, 28078, 28088, 28097, 28112, 28114, 28117, 28126, 28138, 28143, 28182, 40002, 40003, 40004, 40005, 40006, 40007, 40009, 40012, 40013, 40014, 40016, 40019, 40020, 40021, 40025, 40026, 40029, 40031, 40032, 40033, 40034, 40035, 40036, 40037, 40039, 40040, 40041, 40043, 40044, 40045, 40046, 40047, 40048, 40049, 40051, 40052, 40053, 40054, 40055, 40056, 40059, 40060, 40061, 40062, 40063, 40070, 40071, 40072, 40073, 40074, 40075, 40077, 40079, 40080, 40081, 40083, 40086, 40087, 40088, 40089, 40091, 40092, 40093, 40095, 40097, 40099, 40100, 40108, 40110, 40112, 40115, 40123, 40125, 40127, 40130, 40132, 40134, 40136, 40139, 40140, 40141, 40142, 40143, 40144, 40149, 40150, 40154, 40156, 40157, 40158, 40159, 40160, 40162, 40163, 40165, 40168, 40170, 40171, 40172, 40173, 40174, 40179, 40182, 40183, 40184, 40186, 40188, 40190, 40191, 40192, 40195, 40196, 40198, 40199, 40200, 40202, 40203, 40204, 40205, 40206, 40207, 40208, 40210, 40212, 40213, 40214, 40215, 40218, 40220, 40221, 40222, 40224, 40229, 40231, 40234, 40902, 40905, 40906, 47030, 47033, 47038, 47063, 47106, 47131, 47170)",245,Aeropuerto de Adolfo Suárez Madrid - Barajas,0.5758635287116062,Segovia,0.4302195911307562,40.64850831171325,Hospital Recoletas Segovia Ntra. Sra. De La Misericordia,3.846409065236548,Hoces Del Duratón,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters.",248.0,0.0,0.0,25,22,34,64,100,131,114,10.20408163265306,8.979591836734693,13.877551020408164,26.122448979591837,40.81632653061224,0.969,0.0,0.0,1,0.5,10,5.0,2.6542922192512575,19.795918367346935,Excellent,Small,Very Low,Balanced Town,Average,-0.6537808841606004,0.3708813313091717,1.4295539220312057,-0.371351321588304,1,0.825156903074078,0.9630883146892344,0.7197464669676154,0.7197464669676154,-0.8925723803547546,-0.8925723803547546,-0.4002962046341264,-0.4002962046341266,1.034079631024667,-0.5354420905636879,-0.3218509596284319,-0.5388150171200489,-0.537425448915117,0.186646792800587,-0.3186964195192295
9325,Royuela de Río Franco,Burgos,Castilla León,836.2991,-3.956869,41.99681,"(9009, 9017, 9023, 9030, 9032, 9033, 9034, 9041, 9047, 9051, 9058, 9061, 9063, 9079, 9091, 9093, 9094, 9095, 9101, 9103, 9104, 9105, 9108, 9113, 9114, 9117, 9119, 9125, 9127, 9128, 9151, 9152, 9159, 9162, 9167, 9168, 9170, 9179, 9180, 9194, 9196, 9197, 9198, 9199, 9206, 9208, 9221, 9231, 9235, 9236, 9239, 9249, 9250, 9256, 9258, 9262, 9267, 9270, 9275, 9277, 9281, 9294, 9295, 9304, 9311, 9315, 9316, 9321, 9332, 9339, 9343, 9348, 9350, 9352, 9355, 9356, 9362, 9366, 9369, 9375, 9378, 9380, 9384, 9386, 9389, 9390, 9391, 9396, 9403, 9406, 9417, 9418, 9428, 9432, 9434, 9437, 9438, 9440, 9441, 9442, 9443, 9446, 9448, 9451, 9455, 9456, 9458, 9464, 9466, 9467, 9472, 9480, 9901, 34006, 34012, 34017, 34022, 34050, 34051, 34058, 34060, 34063, 34070, 34082, 34084, 34087, 34098, 34104, 34121, 34141, 34146, 34177, 34178, 34182, 34186, 34189, 34196, 34201, 34205, 34210, 34213, 34221, 34238, 34241, 34242, 47009, 47034, 47047, 47056, 47060, 47062, 47118, 47119, 47137, 47143, 47169, 47200)",171,Aeropuerto de Burgos,0.304928402221035,Quintana Del Puente,0.2254706095173453,42.56542874572838,Hospital Santos Reyes,14.870464846389238,Virgen De Los Escuderos,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers.",751.0,0.0,0.0,3,3,11,26,128,104,67,1.7543859649122806,1.7543859649122806,6.432748538011696,15.204678362573098,74.85380116959064,0.0375,0.0,0.0,1,0.5,6,3.0,1.355045978420333,-73.9766081871345,Poor,Small,Very Low,Highly Aging Town,Poor,-2.7547570048583516,-1.7521473891511283,-0.3940943760691233,0.6346757352822061,2,-2.16267777596138,-0.3003703189950829,-1.2503898710135353,-1.2503898710135353,-0.8925723803547546,-0.8925723803547546,-0.4002962046341264,-0.4002962046341266,-1.9991439530056196,-0.6096868603613442,-0.3218509596284319,0.0647192725012592,-0.5956612555061566,0.6446052917186286,-0.346683108652984
