cmun,municipality,province,autonomous_community,altitude,longitude,latitude,towns_in_vicinity,total_population,nearest_airport,closest_distance_airport,nearest_train_station,closest_distance_train,closest_distance_hospital,nearest_hospital,closest_distance_school,nearest_school,koppen_climate,description,number_of_houses,count_of_stations,suburban_train,0-17,18-24,25-34,35-54,55+,male,female,0-17_pct,18-24_pct,25-34_pct,35-54_pct,55+_pct,score_connectivity,score_economy,score_area_economy,score_hospital_distance,score_area_hospital,score_school_distance,score_area_school,score_transport,score_age,category_connectivity,category_town_size,category_economy,cagetory_town_age,category_transport,PC1,PC2,PC3,PC4,cluster,enc_scaled__score_age,enc_scaled__score_transport,enc_scaled__score_area_school,enc_scaled__score_school_distance,enc_scaled__score_area_hospital,enc_scaled__score_hospital_distance,enc_scaled__score_area_economy,enc_scaled__score_economy,enc_scaled__score_connectivity,enc_scaled__female,enc_scaled__count_of_stations,enc_scaled__number_of_houses,enc_scaled__total_population,enc_scaled__latitude,enc_scaled__longitude
41043,"Garrobo, El",Sevilla,Andalucía,269.6107,-6.172421,37.62539,"(21019, 21030, 21032, 21038, 21047, 21049, 21052, 21056, 21069, 21074, 21079, 41003, 41005, 41007, 41009, 41010, 41012, 41013, 41015, 41016, 41017, 41018, 41019, 41021, 41023, 41025, 41027, 41028, 41029, 41030, 41031, 41034, 41040, 41044, 41045, 41047, 41049, 41051, 41057, 41059, 41067, 41070, 41075, 41080, 41081, 41083, 41085, 41086, 41087, 41089, 41091, 41092, 41093, 41094, 41096, 41098, 41101)",809,Aeropuerto de Sevilla,0.2069756575302471,Escacena,0.3258538233119442,27.92811145583663,Hospital Nisa Sevilla-Aljarafe,0.251329630923393,C.E.I.P. Ntra. Sra. de la Estrella,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters.",562.0,0.0,0.0,114,53,108,254,280,414,395,14.091470951792337,6.551297898640297,13.349814585908527,31.396786155747836,34.610630407911,0.8215,0.0,0.0,2,1.0,10,5.0,1.6532928732992511,35.475896168108775,Excellent,Medium,Very Low,Young & Growing,Poor,0.192340694464541,0.2831505402171661,1.4690275247733016,-2.0105492050197733,1,1.3247614584915242,-0.0103386048657323,0.7197464669676154,0.7197464669676154,-0.5054298186347492,-0.5054298186347492,-0.4002962046341264,-0.4002962046341266,0.5537785267364573,-0.0915531477308918,-0.3218509596284319,-0.1620560371178803,-0.0935741662482755,-2.1133664406030044,-1.2047308929393232
44268,"Zoma, La",Teruel,Aragón,1144.094,-0.618576,40.78397,"(12061, 12075, 12083, 12087, 12112, 12137, 12141, 44001, 44004, 44005, 44006, 44008, 44011, 44014, 44017, 44020, 44021, 44022, 44024, 44025, 44029, 44040, 44043, 44044, 44051, 44055, 44059, 44060, 44062, 44063, 44066, 44071, 44084, 44087, 44088, 44093, 44096, 44097, 44099, 44100, 44106, 44107, 44110, 44111, 44115, 44116, 44121, 44123, 44124, 44125, 44128, 44130, 44131, 44142, 44144, 44145, 44146, 44148, 44149, 44150, 44151, 44155, 44156, 44161, 44167, 44172, 44173, 44175, 44176, 44177, 44178, 44182, 44183, 44184, 44185, 44195, 44203, 44211, 44212, 44224, 44236, 44238, 44256, 44260, 44262, 44267)",27,Aeropuerto de Zaragoza,0.6721264153974479,Samper,0.5010893668986558,50.35501536003078,Hospital De Alcañiz,12.362550928523396,C.R.A. Somontano-Bajo Arag�n,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,33.0,0.0,0.0,0,1,4,5,17,14,13,0.0,3.7037037037037033,14.814814814814811,18.51851851851852,62.96296296296296,0.15,0.0,0.0,1,0.5,6,3.0,3.107646479262093,-33.333333333333336,Poor,Very Small,Very Low,Highly Aging Town,Average,-2.6305201849113944,-1.3264402644136053,-0.9348559345415496,0.6168025815356106,2,-0.8676781578461159,1.4039549771641844,-1.2503898710135353,-1.2503898710135353,-0.8925723803547546,-0.8925723803547546,-0.4002962046341264,-0.4002962046341266,-1.6328126022773242,-0.6949893618309918,-0.3218509596284319,-0.7967869301788586,-0.708984987250882,-0.1205873541101841,0.9461842724550182
34156,Riberos de la Cueza,Palencia,Castilla León,832.8394,-4.725373,42.27843,"(9182, 9247, 24018, 24031, 24051, 24069, 24077, 24080, 24086, 24139, 24215, 24229, 34001, 34003, 34009, 34011, 34015, 34017, 34018, 34019, 34020, 34024, 34025, 34029, 34033, 34034, 34035, 34038, 34039, 34042, 34045, 34046, 34047, 34048, 34052, 34053, 34055, 34059, 34071, 34072, 34074, 34076, 34077, 34079, 34081, 34088, 34089, 34091, 34092, 34094, 34096, 34099, 34101, 34102, 34103, 34104, 34108, 34109, 34112, 34116, 34120, 34123, 34125, 34126, 34127, 34130, 34131, 34132, 34136, 34137, 34143, 34147, 34149, 34152, 34155, 34157, 34159, 34163, 34165, 34167, 34168, 34169, 34174, 34175, 34180, 34184, 34189, 34190, 34192, 34202, 34204, 34206, 34208, 34211, 34215, 34216, 34217, 34218, 34220, 34221, 34222, 34223, 34224, 34227, 34228, 34229, 34230, 34231, 34232, 34233, 34234, 34236, 34237, 34240, 34243, 34245, 34246, 34901, 34902, 34903, 47026, 47028, 47058, 47064, 47070, 47073, 47088, 47089, 47091, 47153, 47187, 47196, 47198, 47199, 47203, 47208, 47214, 47219)",54,Aeropuerto de Valladolid,0.4061032211418218,Cisneros,0.144681942841912,32.93280643753064,Hospital Recoletas De Palencia,3.878685573784322,Escuela De Música De Carrión De Los Condes,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers.",40.0,0.0,0.0,2,3,3,10,36,32,22,3.7037037037037033,5.555555555555555,5.555555555555555,18.51851851851852,66.66666666666666,0.15,0.0,0.0,1,0.5,10,5.0,1.147809391472718,-53.70370370370369,Poor,Very Small,Very Low,Highly Aging Town,Poor,-2.0816840985302125,0.0682452919031518,1.6895192893922355,0.6099800480259062,1,-1.5167307242396169,-0.5018985949797646,0.7197464669676154,0.7197464669676154,-0.8925723803547546,-0.8925723803547546,-0.4002962046341264,-0.4002962046341266,-1.6328126022773242,-0.6807722782527172,-0.3218509596284319,-0.788387844637409,-0.687736787548746,0.8222821105226805,-0.6443123921973056
15006,Arzúa,A Coruña,Galicia,385.5346,-8.164196,42.92717,"(15001, 15002, 15003, 15009, 15010, 15012, 15021, 15024, 15027, 15032, 15038, 15046, 15047, 15059, 15060, 15064, 15066, 15078, 15079, 15082, 15083, 15084, 15085, 15086, 15089, 15090, 27003, 27020, 27022, 27023, 27032, 27040, 36017, 36020, 36024, 36047, 36052, 36059)",5892,Aeropuerto de Santiago,0.1275407248718277,Curtis,0.2279553692613739,31.843506607402087,Hospital Hm Rosaleda,0.0898199396059535,CPR Plurilingüe Ntra. Sra. del Rosario,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers.",3611.0,0.0,0.0,699,303,465,1542,2883,2919,2973,11.863543788187371,5.142566191446028,7.892057026476579,26.171079429735233,48.93075356415479,0.6275,27.8,0.4384858044164038,1,0.5,10,5.0,1.1056223447453302,-7.281059063136468,Good,Big,Medium-Low,Highly Aging Town,Poor,7.500273259314445,-5.176431540692622,1.4084668634494344,0.1859573719814886,0,-0.0375854708690542,-0.5429236037442874,0.7197464669676154,0.7197464669676154,-0.8925723803547546,-0.8925723803547546,5.068119753755802,5.068119753755801,-0.0779395358527812,3.980851459468212,-0.3218509596284319,3.4963456508649595,3.9065961702686662,1.2315785363125442,-1.9761134312624695
12136,"Vilavella, la",Castellón,Valencia,37.97432,-0.1835214,39.85938,"(12001, 12002, 12005, 12006, 12007, 12008, 12010, 12011, 12012, 12013, 12015, 12016, 12017, 12018, 12021, 12024, 12031, 12032, 12039, 12041, 12043, 12046, 12049, 12053, 12056, 12057, 12058, 12059, 12060, 12064, 12065, 12067, 12069, 12070, 12071, 12073, 12074, 12076, 12077, 12078, 12079, 12081, 12082, 12084, 12088, 12094, 12095, 12104, 12106, 12107, 12109, 12113, 12115, 12116, 12118, 12119, 12123, 12124, 12125, 12126, 12128, 12131, 12135, 12140, 12142, 12902, 46009, 46010, 46014, 46025, 46028, 46052, 46058, 46070, 46082, 46101, 46103, 46117, 46120, 46122, 46126, 46134, 46161, 46163, 46164, 46166, 46171, 46177, 46178, 46182, 46192, 46199, 46205, 46224, 46228, 46245, 46260, 46902, 12009, 12028, 12040, 12085, 12108, 46207, 46220, 12072, 12901)",3074,Aeropuerto de Valencia,0.3034870978391554,Benicassim,0.3089252780669441,10.34490036131874,Hospital Universitario De La Plana,0.0405125958259727, ,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures.",1551.0,0.0,0.0,438,250,288,861,1237,1526,1548,14.24853610930384,8.132726089785296,9.36890045543266,28.00910865322056,40.24072869225764,0.962,4.25,0.0670347003154574,6,3.0,10,5.0,1.7204079693069032,15.647364996746916,Excellent,Big,Very Low,Balanced Town,Poor,3.233818992111218,0.7101673350485043,-0.3964143484573277,-0.5999611610529093,0,0.6929732872118497,0.0549278125665693,0.7197464669676154,0.7197464669676154,1.0431404282452723,1.0431404282452723,0.4357026379254847,0.4357026379254847,1.011285680312684,1.7298132262413997,-0.3218509596284319,1.024614762952644,1.6889136976531356,-0.7039202491390865,1.1146739470704548
