cmun,municipality,province,autonomous_community,altitude,longitude,latitude,towns_in_vicinity,total_population,nearest_airport,closest_distance_airport,nearest_train_station,closest_distance_train,closest_distance_hospital,nearest_hospital,closest_distance_school,nearest_school,koppen_climate,description,number_of_houses,count_of_stations,suburban_train,0-17,18-24,25-34,35-54,55+,male,female,0-17_pct,18-24_pct,25-34_pct,35-54_pct,55+_pct,score_connectivity,score_economy,score_area_economy,score_hospital_distance,score_area_hospital,score_school_distance,score_area_school,score_transport,score_age,category_connectivity,category_town_size,category_economy,cagetory_town_age,category_transport,PC1,PC2,PC3,PC4,PC5,cluster,enc_scaled__total_population,enc_scaled__score_age,enc_scaled__score_transport,enc_scaled__score_school_distance,enc_scaled__score_area_school,enc_scaled__score_area_hospital,enc_scaled__score_hospital_distance,enc_scaled__score_area_economy,enc_scaled__score_economy,enc_scaled__score_connectivity
47160,Siete Iglesias de Trabancos,Valladolid,Castilla León,726.464,-5.184703,41.35193,"(5023, 5026, 5034, 5056, 5099, 5114, 5117, 5134, 5193, 5208, 6162, 37017, 37031, 37081, 37082, 37128, 37224, 37228, 37231, 37239, 37256, 37265, 37317, 37351, 37382, 47001, 47004, 47011, 47014, 47016, 47017, 47018, 47020, 47025, 47035, 47036, 47037, 47041, 47042, 47045, 47049, 47065, 47067, 47069, 47071, 47074, 47078, 47081, 47082, 47083, 47085, 47095, 47097, 47100, 47101, 47102, 47113, 47121, 47123, 47124, 47132, 47135, 47138, 47139, 47141, 47142, 47146, 47149, 47150, 47151, 47156, 47158, 47159, 47161, 47163, 47165, 47166, 47167, 47168, 47171, 47182, 47188, 47189, 47190, 47191, 47192, 47204, 47210, 47213, 47216, 47218, 47225, 47227, 47228, 49002, 49013, 49024, 49034, 49040, 49076, 49080, 49081, 49083, 49084, 49090, 49093, 49102, 49103, 49114, 49129, 49146, 49147, 49156, 49158, 49163, 49191, 49210, 49219, 49226, 49228, 49230, 49234, 49235, 49239, 49245, 49249, 49255, 49267, 49270)",421,Aeropuerto de Valladolid,0.3060842884115086,Nava Del Rey,0.0942991479864507,23.73254170982777,Hospital Medina Del Campo,5.89079857609967,Miguel De Cervantes,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures.",406.0,0.0,0.0,36,15,33,104,233,221,200,8.551068883610451,3.5629453681710213,7.8384798099762465,24.70308788598575,55.34441805225653,0.15,0.0,0.0,3,1.5,8,4.0,0.7791528140448544,-22.44655581947744,Poor,Small,Very Low,Highly Aging Town,Poor,-1.2164599433668288,-0.3511986780198707,-0.3480483997564606,-0.7405646041868796,-1.358382785944626,1,-0.3989186656715637,-0.5207973325764299,-0.8604005640274929,-0.2653217020229599,-0.2653217020229599,-0.1182872569147437,-0.1182872569147437,-0.4002962046341264,-0.4002962046341266,-1.6328126022773242
16039,Buenache de Alarcón,Cuenca,Castilla La Mancha,814.0424,-2.160121,39.65448,"(16003, 16004, 16007, 16012, 16015, 16017, 16019, 16024, 16026, 16029, 16034, 16042, 16047, 16049, 16058, 16060, 16061, 16063, 16064, 16065, 16066, 16068, 16072, 16073, 16081, 16083, 16089, 16092, 16099, 16102, 16104, 16129, 16131, 16132, 16134, 16139, 16141, 16142, 16150, 16152, 16155, 16158, 16159, 16161, 16166, 16175, 16177, 16190, 16191, 16195, 16198, 16199, 16204, 16213, 16231, 16236, 16237, 16238, 16247, 16251, 16253, 16255, 16263, 16266, 16269, 16273, 16276, 16902, 16903, 16908)",440,Aeropuerto de Albacete,0.5242988557099292,Arguisuelas,0.369815415356103,46.81581915500082,Hospital Virgen De La Luz,8.362996917749806,Colégio Público C.R.A Ribera del Júcar,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters.",651.0,0.0,0.0,36,27,50,110,217,234,206,8.181818181818182,6.136363636363637,11.363636363636363,25.0,49.31818181818181,0.948,0.0,0.0,1,0.5,8,4.0,2.312628156829001,-3.5227272727272663,Excellent,Small,Very Low,Highly Aging Town,Average,-0.9690136794691632,0.3169317068807669,0.623716006197212,0.2859905258582444,1.4142940036883376,1,-0.3839662288441346,0.0821646784690024,0.6308353545336749,-0.2653217020229599,-0.2653217020229599,-0.8925723803547546,-0.8925723803547546,-0.4002962046341264,-0.4002962046341266,0.9656977788887184
22909,Vencillón,Huesca,Aragón,199.0715,0.3219554,41.7051,"(22007, 22008, 22009, 22016, 22017, 22020, 22022, 22025, 22040, 22043, 22045, 22046, 22052, 22055, 22060, 22061, 22075, 22077, 22082, 22085, 22089, 22094, 22099, 22103, 22105, 22110, 22112, 22128, 22158, 22165, 22167, 22172, 22175, 22193, 22205, 22217, 22225, 22234, 22245, 22251, 22254, 22903, 25004, 25007, 25008, 25010, 25011, 25012, 25013, 25014, 25015, 25016, 25019, 25021, 25023, 25033, 25036, 25038, 25048, 25053, 25069, 25078, 25102, 25112, 25120, 25131, 25134, 25142, 25156, 25174, 25182, 25189, 25200, 25204, 25210, 25211, 25212, 25220, 25226, 25228, 25231, 25232, 25233, 25251, 25254, 25912, 50165)",391,Aeropuerto de Huesca Pirineos,0.426622658341165,Binefar,0.1663162864750632,25.74082125162244,Hospital Universitari Arnau De Vilanova De Lleida.,0.156235304500883,DE VENCILL�N,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures.",152.0,0.0,0.0,46,39,32,109,165,214,177,11.76470588235294,9.974424552429667,8.184143222506394,27.877237851662407,42.19948849104859,0.9185,0.0,0.0,2,1.0,10,5.0,1.2731901737483962,10.741687979539648,Excellent,Small,Very Low,Balanced Town,Poor,0.0521157089444199,-0.9312258041670232,1.0062323987486914,-0.4420260592853767,1.031219987111398,1,-0.4225277764517148,0.5366657581868827,-0.3799714137527581,0.7197464669676154,0.7197464669676154,-0.5054298186347492,-0.5054298186347492,-0.4002962046341264,-0.4002962046341266,0.8696375580310765
39067,Ruesga,Cantabria,Cantabria,149.2516,-3.56,43.2825,"(1004, 9124, 9189, 9209, 9214, 9215, 9216, 9410, 9413, 9903, 39002, 39003, 39005, 39006, 39007, 39008, 39009, 39011, 39016, 39019, 39020, 39023, 39026, 39028, 39029, 39030, 39031, 39035, 39036, 39037, 39038, 39039, 39040, 39042, 39043, 39044, 39045, 39047, 39048, 39052, 39054, 39056, 39057, 39058, 39061, 39062, 39064, 39069, 39071, 39072, 39073, 39074, 39075, 39078, 39079, 39081, 39082, 39083, 39084, 39097, 39098, 39099, 39100, 39101, 39102, 48002, 48008, 48022, 48037, 48045, 48051, 48071, 48086, 48087, 48090, 48096, 48913)",830,Santander-Seve Ballesteros,0.1639945039561253,Quintanilla De Las Torres,0.7515707872847859,17.470103229859227,Hospital Comarcal De Laredo,11.876377612324188,Escuela Pública de Mirones,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,727.0,0.0,0.0,61,37,66,212,454,448,382,7.349397590361447,4.457831325301205,7.951807228915662,25.5421686746988,54.69879518072289,0.1704999999999999,0.0,0.0,4,2.0,6,3.0,3.464773748279611,-19.69879518072288,Poor,Medium,Very Low,Highly Aging Town,Average,-1.536690634771652,0.9092038330033886,-1.2985130038670425,1.774215181289556,-0.9119431114997688,1,-0.0770477887021697,-0.4332465879413303,1.7512452114431865,-1.2503898710135353,-1.2503898710135353,0.2688553048052616,0.2688553048052616,-0.4002962046341264,-0.4002962046341266,-1.5660588894779464
47137,Roturas,Valladolid,Castilla León,824.9166,-4.11888,41.66783,"(9003, 9017, 9018, 9033, 9051, 9061, 9065, 9085, 9103, 9117, 9131, 9136, 9138, 9139, 9140, 9141, 9151, 9152, 9155, 9160, 9168, 9170, 9199, 9218, 9228, 9229, 9235, 9239, 9253, 9256, 9281, 9321, 9325, 9339, 9355, 9365, 9369, 9380, 9387, 9390, 9391, 9405, 9428, 9432, 9438, 9464, 34006, 34012, 34022, 34050, 34051, 34057, 34058, 34066, 34070, 34082, 34086, 34087, 34133, 34178, 34181, 34196, 34201, 34205, 34238, 40003, 40009, 40013, 40014, 40037, 40044, 40047, 40048, 40056, 40063, 40081, 40083, 40087, 40089, 40091, 40092, 40099, 40100, 40108, 40127, 40140, 40149, 40158, 40174, 40177, 40183, 40202, 40204, 40215, 40219, 40902, 40905, 47009, 47012, 47022, 47030, 47032, 47033, 47034, 47038, 47039, 47044, 47047, 47054, 47056, 47059, 47060, 47061, 47062, 47063, 47077, 47080, 47093, 47103, 47105, 47106, 47110, 47114, 47116, 47117, 47118, 47119, 47127, 47129, 47131, 47143, 47144, 47145, 47154, 47157, 47169, 47170, 47172, 47173, 47175, 47179, 47180, 47184, 47194, 47195, 47200, 47206, 47224, 47226)",26,Aeropuerto de Valladolid,0.3856333537611087,Cubillas De Santa Marta,0.4236952029420117,35.64584157058307,Hospital Santos Reyes,4.195451330216913,Escuela De Música De Peñafiel,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers.",39.0,0.0,0.0,1,2,1,5,17,16,10,3.8461538461538463,7.6923076923076925,3.8461538461538463,19.230769230769237,65.38461538461539,0.0,0.0,0.0,1,0.5,10,5.0,2.346348566742487,-51.92307692307692,Poor,Very Small,Very Low,Highly Aging Town,Average,-1.8331686404482552,-0.4146659430284136,1.6580806436154365,0.5950251816086027,-1.9684588399904948,1,-0.7097719576102204,-1.4599953600443811,0.6636269391445496,0.7197464669676154,0.7197464669676154,-0.8925723803547546,-0.8925723803547546,-0.4002962046341264,-0.4002962046341266,-2.121254403248385
