cmun,municipality_clean,province_clean,0-17,18-24,25-34,35-54,55+,male,female,total_population
2042,letur,letur,82,69,108,197,465,465,456,921
2043,lezuza,lezuza,120,83,151,329,635,694,624,1318
2044,lietor,lietor,86,67,110,254,548,551,514,1065
2045,madrigueras,madrigueras,812,296,481,1338,1721,2360,2288,4648
2046,mahora,mahora,236,102,165,439,543,772,713,1485
2047,masegoso,masegoso,0,5,9,20,81,68,47,115
2048,minaya,minaya,183,78,108,378,659,705,701,1406
2049,molinicos,molinicos,51,28,68,193,450,406,384,790
2050,montalvos,montalvos,8,2,4,18,49,48,33,81
2051,montealegre del castillo,montealegre del castillo,291,149,228,564,813,1065,980,2045
2052,motilleja,motilleja,112,35,91,190,251,368,311,679
2053,munera,munera,466,266,395,897,1368,1750,1642,3392
2054,navas de jorquera,navas de jorquera,77,32,67,137,216,282,247,529
2055,nerpio,nerpio,109,81,109,305,546,652,498,1150
2056,ontur,ontur,249,128,203,498,811,941,948,1889
2057,ossa de montiel,ossa de montiel,269,149,223,618,956,1127,1088,2215
2058,paterna del madera,paterna del madera,31,10,26,92,180,190,149,339
2059,penascosa,penascosa,21,14,33,84,177,188,141,329
2060,penas de san pedro,penas de san pedro,123,78,153,426,697,874,603,1477
2061,petrola,petrola,58,35,68,145,359,354,311,665
2062,povedilla,povedilla,30,23,37,94,210,212,182,394
2063,pozohondo,pozohondo,183,100,150,389,725,814,733,1547
2064,pozo-lorente,pozo-lorente,23,27,45,88,206,201,188,389
2065,pozuelo,pozuelo,24,32,53,123,235,256,211,467
2066,"recueja, la","recueja, la",11,18,25,45,122,121,100,221
2067,riopar,riopar,178,72,136,383,583,685,667,1352
2068,robledo,robledo,48,17,52,106,170,220,173,393
2069,"roda, la","roda, la",2841,1246,1740,4582,5273,7895,7787,15682
2070,salobre,salobre,48,36,41,100,220,239,206,445
2071,san pedro,san pedro,111,94,138,343,505,612,579,1191
2072,socovos,socovos,191,103,171,452,750,874,793,1667
2073,tarazona de la mancha,tarazona de la mancha,986,490,675,1666,2312,3152,2977,6129
2074,tobarra,tobarra,1329,624,913,2250,2831,4131,3816,7947
2075,valdeganga,valdeganga,261,133,191,557,826,1016,952,1968
2076,vianos,vianos,24,16,36,65,179,165,155,320
2077,villa de ves,villa de ves,2,5,7,19,22,32,23,55
2078,villalgordo del jucar,villalgordo del jucar,130,90,139,292,496,604,543,1147
2079,villamalea,villamalea,616,315,457,1156,1453,2053,1944,3997
2080,villapalacios,villapalacios,55,33,67,134,274,295,268,563
2081,villarrobledo,villarrobledo,4488,2121,2878,7453,8268,12458,12750,25208
2082,villatoya,villatoya,3,8,11,33,59,68,46,114
2083,villavaliente,villavaliente,9,8,24,39,124,124,80,204
2084,villaverde de guadalimar,villaverde de guadalimar,28,13,24,69,178,169,143,312
2085,viveros,viveros,21,10,41,52,181,159,146,305
2086,yeste,yeste,245,140,228,583,1334,1319,1211,2530
2901,pozo canada,pozo canada,469,224,292,745,966,1373,1323,2696
3001,"atzubia, l'","atzubia, l'",48,27,48,141,333,317,280,597
3002,agost,agost,837,363,568,1499,1833,2580,2520,5100
3003,agres,agres,76,37,71,155,272,329,282,611
3004,aigues,aigues,196,70,110,368,439,599,584,1183
3005,albatera,albatera,2785,1087,1679,3958,3753,6768,6494,13262
3006,alcalali,alcalali,133,62,111,277,794,675,702,1377
3007,alcosser,alcosser,31,17,22,78,112,130,130,260
3008,alcoleja,alcoleja,23,4,15,45,103,103,87,190
3009,alcoi/alcoy,alcoi/alcoy,9619,4847,6591,17098,22292,29581,30866,60447
3010,alfafara,alfafara,50,32,43,100,187,194,218,412
3011,"alfas del pi, l'","alfas del pi, l'",3006,1467,2041,5716,8195,10039,10386,20425
3012,algorfa,algorfa,482,189,248,868,1932,1869,1850,3719
3013,alguena,alguena,210,78,113,369,562,677,655,1332
3014,alacant/alicante,alacant/alicante,60733,27624,41618,108424,120209,172987,185621,358608
3015,almoradi,almoradi,4833,1817,2562,6891,6294,11297,11100,22397
3016,almudaina,almudaina,8,11,13,32,54,57,61,118
3017,"alqueria d'asnar, l'","alqueria d'asnar, l'",75,45,53,183,161,253,264,517
3018,altea,altea,3673,1775,2461,7212,9228,11898,12451,24349
3019,aspe,aspe,4200,1661,2327,6822,6890,11013,10887,21900
3020,balones,balones,8,11,15,29,69,67,65,132
3021,banyeres de mariola,banyeres de mariola,1218,581,804,2073,2614,3715,3575,7290
3022,benasau,benasau,19,8,9,45,90,81,90,171
3023,beneixama,beneixama,267,93,173,481,680,837,857,1694
3024,benejuzar,benejuzar,1038,462,665,1651,1903,2859,2860,5719
3025,benferri,benferri,409,139,211,669,626,1050,1004,2054
3026,beniarbeig,beniarbeig,410,173,240,757,865,1232,1213,2445
3027,beniarda,beniarda,26,16,20,73,107,125,117,242
3028,beniarres,beniarres,97,76,113,264,546,563,533,1096
3029,benigembla,benigembla,50,26,35,124,334,284,285,569
3030,benidoleig,benidoleig,133,70,105,318,616,623,619,1242
3031,benidorm,benidorm,10914,5017,8699,22419,27524,37042,37531,74573
3032,benifallim,benifallim,11,8,7,36,54,64,52,116
3033,benifato,benifato,10,8,15,32,79,81,63,144
3034,benijofar,benijofar,454,192,303,784,1788,1719,1802,3521
3035,benilloba,benilloba,71,47,69,181,381,398,351,749
3036,benillup,benillup,17,5,9,34,45,58,52,110
3037,benimantell,benimantell,74,22,58,156,232,275,267,542
3038,benimarfull,benimarfull,46,26,40,120,214,236,210,446
3039,benimassot,benimassot,4,5,12,20,55,52,44,96
3040,benimeli,benimeli,64,20,19,105,247,202,253,455
3041,benissa,benissa,1886,832,1154,3490,5033,6117,6278,12395
3042,"poble nou de benitatxell, el/benitachell","poble nou de benitatxell, el/benitachell",730,240,440,1327,2222,2461,2498,4959
3043,biar,biar,591,255,341,1044,1403,1776,1858,3634
3044,bigastro,bigastro,1461,576,928,2316,2135,3738,3678,7416
3045,bolulla,bolulla,44,35,36,140,225,247,233,480
3046,busot,busot,518,243,304,1055,1479,1793,1806,3599
3047,calp,calp,4251,1842,2954,7636,9954,13152,13485,26637
3048,callosa d'en sarria,callosa d'en sarria,1369,619,891,2558,2632,4207,3862,8069
3049,callosa de segura,callosa de segura,4321,1562,2241,5922,5538,10013,9571,19584
3050,"campello, el","campello, el",4964,2228,2860,9318,11389,14939,15820,30759
3051,"camp de mirra, el/campo de mirra","camp de mirra, el/campo de mirra",60,37,48,114,189,232,216,448
3052,canada,canada,210,91,127,354,445,612,615,1227
3053,castalla,castalla,1939,762,1370,3554,3973,5874,5724,11598
3054,castell de castells,castell de castells,42,18,42,107,241,235,215,450
3055,catral,catral,1750,743,936,2758,3306,4744,4749,9493
3056,cocentaina,cocentaina,1882,788,1120,3184,4413,5743,5644,11387
3057,confrides,confrides,35,13,24,84,145,164,137,301
3058,cox,cox,1564,575,883,2413,2173,3832,3776,7608
3059,crevillent,crevillent,5944,2363,3353,9128,9642,15394,15036,30430
3060,quatretondeta,quatretondeta,9,6,13,34,71,73,60,133
3061,daya nueva,daya nueva,280,130,174,490,781,900,955,1855
3062,daya vieja,daya vieja,52,35,55,135,383,333,327,660
3063,denia,denia,7338,3588,5106,14134,17000,22965,24201,47166
3064,dolores,dolores,1579,602,971,2281,2652,4058,4027,8085
3065,elx/elche,elx/elche,43512,18932,26753,75523,77597,119897,122420,242317
3066,elda,elda,9021,3851,5850,15476,19727,26357,27568,53925
3067,fageca,fageca,2,0,10,28,61,52,49,101
3068,famorca,famorca,0,1,5,5,33,24,20,44
3069,finestrat,finestrat,1788,524,1010,3356,2711,4792,4597,9389
3070,formentera del segura,formentera del segura,821,342,479,1320,1786,2413,2335,4748
3071,gata de gorgos,gata de gorgos,1051,533,762,1942,2406,3435,3259,6694
3072,gaianes,gaianes,93,23,42,164,240,281,281,562
3073,gorga,gorga,34,7,41,76,130,150,138,288
3074,granja de rocamora,granja de rocamora,551,193,291,983,705,1409,1314,2723
3075,"castell de guadalest, el","castell de guadalest, el",30,16,33,74,123,132,144,276
3076,guardamar del segura,guardamar del segura,2874,1200,1643,5339,7007,8797,9266,18063
3077,"fondo de les neus, el/hondon de las nieves","fondo de les neus, el/hondon de las nieves",276,136,206,652,1455,1406,1319,2725
3078,hondon de los frailes,hondon de los frailes,119,46,72,271,788,672,624,1296
3079,ibi,ibi,4006,1866,2599,7457,8361,12089,12200,24289
3080,jacarilla,jacarilla,315,161,256,570,821,1077,1046,2123
3081,xalo,xalo,447,163,262,813,1388,1530,1543,3073
3082,xabia/javea,xabia/javea,4989,2150,3169,8629,11545,15202,15280,30482
3083,xixona/jijona,xixona/jijona,1149,486,809,2072,2779,3573,3722,7295
3084,"orxa, l'/lorcha","orxa, l'/lorcha",64,34,62,132,295,298,289,587
3085,lliber,lliber,113,38,77,213,551,493,499,992
3086,millena,millena,20,15,21,67,129,138,114,252
3088,monforte del cid,monforte del cid,1722,648,1023,3237,2387,4665,4352,9017
3089,monover/monovar,monover/monovar,2113,838,1307,3756,4744,6360,6398,12758
3090,mutxamel,mutxamel,5220,2259,2893,9219,8226,13922,13895,27817
3091,murla,murla,53,24,34,110,364,277,308,585
3092,muro de alcoy,muro de alcoy,1717,736,912,2878,3082,4703,4622,9325
3093,novelda,novelda,4308,2085,2982,7946,8822,12975,13168,26143
3094,"nucia, la","nucia, la",3538,1431,1833,6403,5792,9619,9378,18997
3095,ondara,ondara,1293,539,901,2391,2383,3765,3742,7507
3096,onil,onil,1317,575,859,2429,2819,4044,3955,7999
3097,orba,orba,308,108,163,541,1293,1154,1259,2413
3098,orxeta,orxeta,130,47,88,283,364,468,444,912
3099,orihuela,orihuela,13940,6020,8468,23458,31462,41230,42118,83348
3100,parcent,parcent,97,55,103,227,549,499,532,1031
3101,pedreguer,pedreguer,1366,577,869,2541,3321,4313,4361,8674
3102,pego,pego,1508,757,991,2991,4423,5317,5353,10670
3103,penaguila,penaguila,29,19,27,83,138,146,150,296
3104,petrer,petrer,5806,2707,3294,10529,11753,16811,17278,34089
3105,"pinos, el/pinoso","pinos, el/pinoso",1357,627,834,2467,3152,4274,4163,8437
3106,planes,planes,66,47,60,160,368,374,327,701
3107,polop,polop,1068,350,548,2003,1748,2871,2846,5717
3109,rafal,rafal,1045,464,568,1516,1274,2414,2453,4867
3110,"rafol d'almunia, el","rafol d'almunia, el",88,36,57,181,357,366,353,719
3111,redovan,redovan,1589,691,1038,2589,2379,4280,4006,8286
3112,relleu,relleu,120,77,85,390,618,666,624,1290
3113,rojales,rojales,1953,787,1247,3583,9419,8603,8386,16989
3114,"romana, la","romana, la",378,172,218,743,1169,1401,1279,2680
3115,sagra,sagra,49,16,31,114,232,217,225,442
3116,salinas,salinas,269,113,154,518,726,922,858,1780
3117,sanet y negrals,sanet y negrals,79,48,44,171,394,369,367,736
3118,san fulgencio,san fulgencio,919,381,583,1918,5786,4788,4799,9587
3119,sant joan d'alacant,sant joan d'alacant,4496,2149,2712,8068,8408,12483,13350,25833
3120,san miguel de salinas,san miguel de salinas,1105,385,639,1781,3200,3561,3549,7110
3121,santa pola,santa pola,6322,2462,4073,12675,12885,19110,19307,38417
3122,sant vicent del raspeig/san vicente del raspeig,sant vicent del raspeig/san vicente del raspeig,10841,5227,6699,19840,17808,29883,30532,60415
3123,sax,sax,1771,763,1084,3009,3558,5080,5105,10185
3124,sella,sella,63,30,57,193,264,319,288,607
3125,senija,senija,115,49,66,209,256,355,340,695
3127,tarbena,tarbena,58,35,52,168,324,338,299,637
3128,teulada,teulada,1756,912,1312,3435,5442,6423,6434,12857
3129,tibi,tibi,229,101,176,559,757,957,865,1822
3130,tollos,tollos,0,2,4,10,22,26,12,38
3131,tormos,tormos,33,10,23,67,201,162,172,334
3132,"torre de les macanes, la/torremanzanas","torre de les macanes, la/torremanzanas",73,41,82,196,354,394,352,746
3133,torrevieja,torrevieja,16111,6491,10313,28561,34284,46524,49236,95760
3134,"vall d'alcala, la","vall d'alcala, la",14,7,14,44,96,90,85,175
3135,"vall d'ebo, la","vall d'ebo, la",13,16,22,49,133,123,110,233
3136,"vall de gallinera, la","vall de gallinera, la",66,16,47,165,294,298,290,588
3137,"vall de laguar, la","vall de laguar, la",105,36,67,241,461,459,451,910
3138,"verger, el","verger, el",837,332,597,1657,1915,2624,2714,5338
3139,"vila joiosa, la/villajoyosa","vila joiosa, la/villajoyosa",6088,2680,4082,11668,12444,18231,18731,36962
3140,villena,villena,6081,2599,3656,10176,11861,17236,17137,34373
3901,"poblets, els","poblets, els",310,136,174,668,1432,1289,1431,2720
3902,pilar de la horadada,pilar de la horadada,4236,1695,2638,6811,8515,12212,11683,23895
3903,"montesinos, los","montesinos, los",964,392,618,1571,2121,2859,2807,5666
3904,san isidro,san isidro,475,148,316,775,620,1195,1139,2334
4001,abla,abla,168,76,145,326,562,658,619,1277
4002,abrucena,abrucena,139,74,133,305,583,647,587,1234
4003,adra,adra,4800,2129,3268,7874,7361,13008,12424,25432
4004,albanchez,albanchez,63,39,42,152,385,365,316,681
4005,alboloduy,alboloduy,69,30,51,163,270,283,300,583
4006,albox,albox,2317,923,1457,3584,4229,6397,6113,12510
4007,alcolea,alcolea,103,47,112,180,389,432,399,831
4008,alcontar,alcontar,46,31,57,120,302,308,248,556
4009,alcudia de monteagud,alcudia de monteagud,11,7,8,37,66,66,63,129
4010,alhabia,alhabia,103,62,85,228,254,398,334,732
4011,alhama de almeria,alhama de almeria,713,297,489,1114,1291,2001,1903,3904
4012,alicun,alicun,24,16,26,52,96,105,109,214
4013,almeria,almeria,38000,15751,23578,60888,63729,98146,103800,201946
4014,almocita,almocita,22,11,28,57,95,109,104,213
4015,alsodux,alsodux,4,5,10,38,80,77,60,137
4016,antas,antas,600,247,416,1053,1123,1811,1628,3439
4017,arboleas,arboleas,293,170,225,771,2837,2163,2133,4296
4018,armuna de almanzora,armuna de almanzora,27,33,39,80,151,165,165,330
4019,bacares,bacares,11,12,22,44,150,127,112,239
4020,bayarcal,bayarcal,37,26,24,84,129,160,140,300
4021,bayarque,bayarque,19,28,13,58,105,105,118,223
4022,bedar,bedar,56,41,60,193,626,489,487,976
4023,beires,beires,5,6,11,41,85,83,65,148
4024,benahadux,benahadux,1100,353,603,1567,1192,2383,2432,4815
4026,benitagla,benitagla,3,1,5,16,34,34,25,59
4027,benizalon,benizalon,16,10,21,69,134,145,105,250
4028,bentarique,bentarique,27,9,10,64,118,123,105,228
4029,berja,berja,2407,1061,1770,3861,3785,6636,6248,12884
4030,canjayar,canjayar,105,61,114,276,574,592,538,1130
4031,cantoria,cantoria,445,219,311,917,1676,1801,1767,3568
4032,carboneras,carboneras,1597,637,962,2591,2669,4332,4124,8456
4033,castro de filabres,castro de filabres,2,5,9,21,65,54,48,102
4034,cobdar,cobdar,18,10,23,45,98,107,87,194
