cmun,n_industry,n_construction,n_info_communications,n_financial_insurance,n_real_estate,n_professional_technical,n_eduation_health_social,n_other
03026,15,37,0,0,0,0,0,0
03027,0,0,0,0,0,0,0,0
03028,13,12,0,0,0,0,0,0
03029,0,0,0,0,0,0,0,0
03030,0,0,0,0,0,0,0,0
03031,72,467,78,81,597,769,293,594
03032,0,0,0,0,0,0,0,0
03033,0,0,0,0,0,0,0,0
03034,14,44,0,0,0,0,0,0
03035,0,0,0,0,0,0,0,0
03036,0,0,0,0,0,0,0,0
03037,0,0,0,0,0,0,0,0
03038,0,0,0,0,0,0,0,0
03039,0,0,0,0,0,0,0,0
03040,0,0,0,0,0,0,0,0
03041,51,292,15,24,121,269,58,116
03042,10,91,0,0,0,0,0,0
03043,58,32,0,0,0,0,0,0
03044,41,158,5,9,31,67,30,42
03045,0,0,0,0,0,0,0,0
03046,8,37,0,0,0,0,0,0
03047,41,366,21,21,278,412,113,201
03048,29,135,8,15,29,77,33,43
03049,101,113,10,14,56,123,69,99
03050,51,243,69,50,175,440,256,231
03051,0,0,0,0,0,0,0,0
03052,24,13,0,0,0,0,0,0
03053,156,113,14,16,40,124,62,84
03054,0,0,0,0,0,0,0,0
03055,65,82,11,6,34,75,38,58
03056,141,98,8,22,53,126,58,80
03057,0,0,0,0,0,0,0,0
03058,51,68,4,6,31,74,28,43
03059,354,203,22,44,104,182,99,144
03060,0,0,0,0,0,0,0,0
03061,14,23,0,0,0,0,0,0
03062,0,0,0,0,0,0,0,0
03063,158,686,91,94,479,1.010,396,415
03064,58,86,0,0,36,63,26,55
03065,1.533,1.862,280,340,1.179,2.750,1.164,1.509
03066,428,329,30,84,279,543,252,382
03067,0,0,0,0,0,0,0,0
03068,0,0,0,0,0,0,0,0
03069,27,97,22,9,75,147,50,86
03070,15,54,0,0,0,0,0,0
03071,38,118,8,11,22,97,26,41
03072,0,0,0,0,0,0,0,0
03073,0,0,0,0,0,0,0,0
03074,19,21,0,0,0,0,0,0
03075,0,0,0,0,0,0,0,0
03076,35,145,15,24,157,218,84,138
03077,16,27,0,0,0,0,0,0
03078,0,0,0,0,0,0,0,0
03079,359,176,31,38,101,243,122,136
03080,19,44,0,0,0,0,0,0
03081,16,51,0,0,0,0,0,0
03082,85,611,76,63,376,769,184,265
03083,62,44,5,12,23,43,32,37
03084,0,0,0,0,0,0,0,0
03085,0,0,0,0,0,0,0,0
03086,0,0,0,0,0,0,0,0
